Original Description,Charge Class,Confidence Score,Matches
HC ADDITIONAL FROZEN SECTIONS,Supply,0.75,TRACH INLINE SUCTION
TRAY PROCEDURE SURESTEP BARDEX IC COMPLE,Procedure,0.71,SURG PROC LEVEL 4 MP SURGICAL PROCEDURE LEVEL 4
DEXTROSE 5 % AND 0.45 % SODIUM CHLORIDE WITH KCL 20 MEQ/L 20-5-0.45 MEQ/L-%-% SOLN,Pharmacy,0.74,DEXTROSE 5% AND 0.45% NACL
HC TUBE TRACHEOSTOMY CUFFED DISPOSABLE INNER CANNULA PVC SIZ,Nursing Services,0.71,HC DISCONTINUE CENTRAL/ INTRA OSSEOUS LINE
TBE TRACH CUFF DISP 6DCT,Supply,0.73,H TUBE TRACH CUFFED CUSTOM PEDIATRIC
LIDOCAINE-EPINEPHRINE 1 %-1:100000 SOLN,Pharmacy,0.9,LIDOCAINE-EPINEPHRINE 0.5%-1:200 000 SOLN 50 ML
MORPHINE PRESERVATIVE FREE 2 MG/ML SOLN,Pharmacy,0.79,MORPHINE 2 MG/ML SOLN
SODIUM CHLORIDE 0.45 % SOLN,Pharmacy,0.97,SODIUM CHLORIDE 0.45% SOLP
"HC OXYGEN, DAILY",Respiratory Therapy,0.95,HB OXYGEN DAILY
HC VENT & MANAGE INITIAL DAY,Respiratory Therapy,0.77,HC VENT MGMT INPT/OBS INIT DAY
ACETYLCYSTEINE 20 % SOLN,Pharmacy,0.83,ACETYLCYSTEINE 200MG/ML 4ML
DIPHENHYDRAMINE 50 MG/ML SOLN,Pharmacy,1,DIPHENHYDRAMINE 50 MG/ML SOLN
AMPICILLIN-SULBACTAM 3 (2-1) G SOLR 1 EACH VIAL,Pharmacy,0.9,AMPICILLIN-SULBACTAM 1.5 (1-0.5) G SOLR 1 EACH VIAL
HC VENIPUNCTURE-BLOOD DRAW,Nursing Services,0.87,HC VENIPUNCTURE
HC TUBE TRACHEOSTOMY UNCUFFED NON FENESTRATED PVC INNER CANN,PT / OT / Speech Therapy,0.7,TREATMENT SWALLOWING DYSFUNCTION AND OR ORAL FUNCTION FOR FEEDING
HC TUBE SUCTION VENTILATION DUAL SWIVEL TRACH CARE WET PAK S,Respiratory Therapy,0.72,INTUBATION ENDOTRACHEAL
HANDPIECE IRR HI FLO TIP INTERPULSE,Plan Benefit,0.73,HCHG INHALED NITRIC OXIDE  PER  MINUTE
HC ROOM & CARE SEMI-PRIVATE,Room and Board,0.8,ROOM & BOARD - SEMI PRIVATE
PHENYLEPHRINE 10 MG/ML SOLN,Pharmacy,1,PHENYLEPHRINE 10 MG/ML SOLN
MAGNESIUM SULFATE IN DEXTROSE 2G SOLN,Pharmacy,0.81,MAGNESIUM SULFATE BOLUS 2 GM/50ML SOLN
"HC ANESTHESIA SERVICES, EA ADD'L 30 MIN",OR / Anesthesia / Recovery Room,0.83,ANESTHESIA TIME EA ADDL 30 MIN
"HC SUSCEPTIBILITY STUDIES, MICRODILUTION",Laboratory,0.79,HC SUSCEPTIBILITY MIC PER PLATE
SUTURE 2813G ETHILON MONOFILAMENT BLACK,Supply,0.7,SODIUM CHLORIDE 3% NEBU 15 ML PLAS CONT
TRAMADOL 50 MG TABS,Pharmacy,0.98,TRAMADOL 50 MG TAB
HC BASIC METABOLIC PANEL W TOTAL CALCIUM,Laboratory,0.94,HC BASIC METABOLIC PANEL TOTAL CA
HC FROZEN SECTION,Supply,0.75,BEBONKERS SUCTION
HC BLOOD COUNT; HEMATOCRIT,Laboratory,0.9,PICU-BLOOD COUNT HEMATOCRIT
PHENYLEPHRINE 1 MG/10ML SOLN,Pharmacy,0.96,PHENYLEPHRINE 10 MG/ML SOLN
SUT VISIBLILTY BACKGROUND,Laboratory,0.69,SUSCEPTIBILITY MICRODILUTI
"HC ANESTHESIA SERVICES, 0-30 MINS",OR / Anesthesia / Recovery Room,0.73,HC ANESTH PER MINUTE
HC MAGNESIUM,Laboratory,1,HC MAGNESIUM
ADAPTOR SMART CAP OLYMPUS,Supply,0.73,ADAPTER HEPLOCK MAXPLUS
"HC BLOOD GASES: PH, PO2, & PC02",Monitoring,0.86,BLOOD GASES POC
DRAIN WND RND HUBLESS FULL FLUT BLAK 15,Supply,0.72,DRAIN WND RND FL HBLS 19X 0722
TUBE ET CUP REINF 7.5MM LF CLR DISP,Supply,0.74,TUBE ET
COUPLER VESSEL MICROVASCULAR ANASTOMOTIC,Monitoring,0.71,HC CAPILLARY GLUCOSE NOVA METER
HC POTASSIUM; SERUM,Laboratory,1,HC POTASSIUM  SERUM
LIDOCAINE 1 % SOLN,Pharmacy,1,LIDOCAINE 1 % SOLN
"HC CULTURE, BACTERIA, OTHER",Laboratory,0.89,CULTURE BACTERIA OTHER 1
SUTURE VCP772D VICRYL COATED PLUS ANTIBA,Blood Products,0.7,HC CRYOPRECIPITATE 5 UNITS
LACTATED RINGERS SOLN,Pharmacy,1,LACTATED RINGERS SOLN
ONDANSETRON 4 MG/2ML SOLN,Pharmacy,1,ONDANSETRON 4 MG/2ML SOLN
LEVOFLOXACIN 750 MG/150ML SOLN,Pharmacy,0.83,LEVOFLOXACIN 750 MG TAB
BLADE ZIMMER DERMATOME 1.25X4.25IN STRL,Laboratory,0.67,D DIMER
TB ET CUP LSR SHLD II 7MM,Supply,0.76,TB ET CUF INTMED HI LO 7MM LF
FENTANYL 0.05 MG/ML SOLN,Pharmacy,0.97,FENTANYL (PF) 0.05 MG/ML SOLN
HC ROOM & CARE INTENSIVE CARE,Room and Board,0.78,CORONARY INTENSIVE CARE
HC IONIZED CALCIUM,Laboratory,1,HC IONIZED CALCIUM
HC 92610 SP CLINICAL EVAL SWALLOWING FUNCTN,PT / OT / Speech Therapy,0.68,ST EVAL SWALLOW GN
EPHEDRINE 50 MG/ML SOLN,Pharmacy,0.88,EPHEDRINE 50MG
SUCCINYLCHOLINE 20 MG/ML SOLN,Pharmacy,1,SUCCINYLCHOLINE 20 MG/ML SOLN
OMNI GIUDE FILTER,Pharmacy,0.7,MAGNESIUM CITRATE LIQ
MORPHINE 5 MG/ML 150 MG/30ML SOLN,Pharmacy,0.86,MORPHINE 25 MG/ML SOLN 10
SEALER SMALL JAW 28DEG JAW ANGLE LIGASUR,Procedure,0.7,EEG
REMIFENTANIL 1 MG SOLR,Pharmacy,0.83,HB REMIFENTANIL 5MG VIAL
DEXTROSE 5 % SOLN 250 ML FLEX CONT,Diluent / Flush / Irrigant,1,DEXTROSE 5 % SOLN 250 ML FLEX CONT
HC PHOSPHORUS,Laboratory,1,HC PHOSPHORUS
322001 FIBER ELITE ENT,Laboratory,0.74,63972001 - FERRITIN
PACK GENERAL BASIC CUSTOM H0060,Supply,0.71,PACK GENERAL/GYN
HYDRALAZINE 20 MG/ML SOLN,Pharmacy,0.89,HYDRALAZINE 20MG
4.0 MM EGG MEDIUM,Laboratory,0.66,MAGNESIUM MAGNESIUM
HC VLV TRACH VNT SWALLOWING SPEAKING LO 15X23MM,PT / OT / Speech Therapy,0.71,ST EVAL SWALLOW GN
DRN WND RND FULL FLUT HUBLES 10FR,Supply,0.76,DRAIN WND RND FL HBLS 19X 0722
BACITRACIN 500 UNIT/GM OINT 28 G TUBE,Pharmacy,0.94,BACITRACIN 500 UNIT/GRAM OINT 14 G TUBE
HC SODIUM; SERUM,Laboratory,0.95,SODIUM SERUM
"HC GLUCOSE; QUANT, BLOOD",Laboratory,0.93,GLUCOSE QUANT BLOOD
HC STAPH AUREUS METH RES AMP PRB TECH,Laboratory,0.7,HCT
HC 92611 SP EVAL OF SWALLOWING WITH RADIOOPAQUE MAT,PT / OT / Speech Therapy,0.7,ST EVAL SWALLOW INTERM
ROCURONIUM 50 MG/5ML SOLN,Pharmacy,0.95,ROCURONIUM 10 MG/ML SOLN
APPLIER SURGICLIP MED 9.75,Supply,0.73,APPLIER CLIP MULTI 20 LG
CARTRIDGE HORIZON CLIP W/4DH SM,Laboratory,0.69,HC IRON
HC CBC - BLOOD COUNT; DIFFERENTIAL WBC,Laboratory,0.75,HB CBC W/AUTO DIFFERENTIAL
HC ROOM & CARE POST INTENSIVE CARE,Laboratory,0.76,HC COMPREHENSIVE METABOLIC PANEL
KIT CAST PEG SAFETY 20FR,Monitoring,0.71,K ISTAT
LORAZEPAM 2 MG/ML SOLN,Pharmacy,1,LORAZEPAM 2 MG/ML SOLN
DEXAMETHASONE 4 MG/ML SOLN,Pharmacy,1,DEXAMETHASONE 4 MG/ML SOLN
SODIUM PHOSPHATE 3 MMOLE/ML SOLN 15 ML VIAL,Pharmacy,0.98,SODIUM PHOSPHATE 3 MMOL/ML SOLN 5 ML VIAL
PROPOFOL 10 MG/ML EMUL,Pharmacy,1,PROPOFOL 10 MG/ML EMUL
HC SENSOR PULSE OXIMETER FINGER OXIMAX DISPOSABLE NEONATAL 18IN,Laboratory,0.7,HC SNGL DRUG CLASS IMMUNOASSAY PNL BLOOD ACETAMINOPHEN
HC BLOOD TYPING; ABO,Laboratory,1,HC BLOOD TYPING ABO
PACK ENT I,Laboratory,0.75,PROLACTIN
ALBUMIN HUMAN 5 % SOLN,Pharmacy,1,ALBUMIN HUMAN 5% SOLN
LIDOCAINE VISCOUS 2 % SOLN,Pharmacy,1,LIDOCAINE VISCOUS 2% SOLN
PACK SURGICAL III CUSTOM H0060,Supply,0.71,PACK CUSTOM ANGIO/IR
"HC AEROBIC ISOLATE, DEFINITIVE ID, EACH",Laboratory,0.78,AEROBIC DEFINITIVE ID EACH ISO
HC BLOOD TYPING; RH (D),Laboratory,1,HC BLOOD TYPING RH D
HC ABDOMEN SINGLE AP VIEW,Radiology,0.97,CR ABDOMEN SINGLE AP VIEW
HC I/P FOLLOW-UP VIS NURSE-DIETN,Capital Equipment,0.71,HBC IV SINGLE LINE PUMP
"HC SURGERY, EA ADD'L 30 MIN LEVEL II",OR / Anesthesia / Recovery Room,0.79,REC RM EA ADD 30 MIN
STIMULATOR NERVE VARISTIM,Laboratory,0.73,SEDIMENTATION RATE (ESR)
"HC ALBUMIN; SERUM, PLASMA, WHOLE BLOOD",Laboratory,0.97,ALBUMIN SERUM PLASMA/WHOLE BLOOD
HC ASSAY OF LACTIC ACID,Laboratory,1,HC ASSAY OF LACTIC ACID
"HC VITAL CAPACITY, TOTAL",Laboratory,0.75,HC METABOLIC PANEL TOTAL CA
POTASSIUM PHOSPHATES 45 MMOLE/15ML SOLN 15 ML VIAL,Pharmacy,0.89,POTASSIUM PHOSPHATE 3 MMOL/ML SOLN 15 ML VIAL
"HC COMPATIBILITY TEST; IMMED SPIN, ADD UNIT",Laboratory,0.85,LCHG COMPATIBILITY TEST IMMEDIATE SPIN
"HC CULTURE, ANAEROBIC",Laboratory,1,HC CULTURE ANAEROBIC
HC LEVEL V SURG PATH GROSS & MICRO ONLY,Laboratory,0.86,LEVEL III - SURG PATH (GROSS/MICRO)
RANITIDINE 50 MG/2ML SOLN,Pharmacy,0.95,RANITIDINE 25 MG/ML SOLN
HC THERAP PROC INCRS RESP MUSCLE EA 15MIN 1,Nursing Services,0.74,SPECIMEN PROCUREMENT  ARTERIAL RC
DRAIN WOUND HEMOVAC 3/16IN,Laboratory,0.7,D DIMER
"HC VENT & MANAGE, EA SUBSQ DAY",Respiratory Therapy,0.76,MECHANICAL VENT SUBSEQ DAY
CARTRIDGE HEMOCLIP MED 002204,OR / Anesthesia / Recovery Room,0.69,CC RM TIME LV2 EA ADD
"HC ANTIBODY SCREEN, EACH SERUM TECHNIQUE",Laboratory,0.83,HC ANTIBODY SCREEN RBC EA SERUM
SODIUM CHLORIDE 0.9 % SOLN 250 ML FLEX CONT,Diluent / Flush / Irrigant,0.99,SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT
BAG INFUSION PRESSURE DISPOSABLE 1000ML,Supply,0.76,INFUSION SUPPLIES
"HC SURGERY, 1ST 30 MINUTES LEVEL IV",Laboratory,0.73,HC S AUREUS METHICILLIN RESIST
DRAIN URIMETER ADULT,Supply,0.74,URINARY CATHETER
BLADE SAW OSC SAG AGG MED 9X31X0.38MM,Nursing Services,0.64,CAR SEAT ADDL 30
LABETALOL 5 MG/ML SOLN,Pharmacy,0.88,LABETALOL 5 MG/ML INJ 4 ML
"HC SURGERY, 1ST 30 MINUTES LEVEL II",Laboratory,0.74,HC S AUREUS METHICILLIN RESIST
HC NONPRES INHAL TX FOR ACUTE AIR OBS INIT,Respiratory Therapy,0.91,HC NONPRES INHAL TX FOR ACUTE AIR OBS SUBSQ
"HC SURGERY, EA ADD'L 30 MIN LEVEL IV",OR / Anesthesia / Recovery Room,0.79,REC RM EA ADD 30 MIN
SLV COMPRSS SCD EXP LF LEG MED NS DISP,Laboratory,0.68,COPPER
"HC RECOVERY, LEVEL 4",Laboratory,0.8,PAH RECOVERY LEVEL II - STATIS
HYDROCODONE-ACETAMINOPHEN 5-325 MG TABS,Pharmacy,1,HYDROCODONE-ACETAMINOPHEN 5-325 MG TABS
KIT TRANSDUCER DOUBLE,Supply,0.84,TRANSDUCER
DOCUSATE SODIUM 50 MG/5ML LIQD,Pharmacy,0.92,DOCUSATE SODIUM 150MG/15ML
HC ASSAY OF TRANSFERRIN,Laboratory,0.76,ASSAY OF MAGNESIUM
SUTURE 1637G CHROMIC GUT PS-2 4-0 18IN,Laboratory,0.69,RH
SUTURE C012D SILK BRAIDED BLACK SH 2-0 1,Supply,0.76,SUTURE 2 SILK SA8H
SUTURE VCP714D VICRYL COATED PLUS ANTIBA,Blood Products,0.7,HC CRYOPRECIPITATE 5 UNITS
HC LEVEL VI SURG PATH GROSS & MICRO ONLY,Laboratory,0.82,LEVEL IV-SURG PATH GROSS/MICRO
HC DEMO/EVAL MED TX ONCE PER DAY,Respiratory Therapy,0.73,DEMO/EVAL PT USE NEB / MDI
100305 KIT WATER BIOPSY SUCTION CAP,Laboratory,0.7,ABO
HYDROMORPHONE 2 MG/ML SOLN,Pharmacy,1,HYDROMORPHONE 2 MG/ML SOLN
SUCTION COAGULATOR 10 FR FOOTCONTROL,Supply,0.71,SUCTION STAT
OXYCODONE 5 MG TABS,Pharmacy,1,OXYCODONE 5 MG TABS
GLUCOMETER-POC,Monitoring,1,GLUCOMETER-POC
POTASSIUM PHOSPHATE 0.6 MMOL/ML 50 ML SYRINGE,Pharmacy,1,POTASSIUM PHOSPHATE 0.6 MMOL/ML 50 ML SYRINGE
ROOM & BOARD - NICU LEVEL II,Room and Board,1,ROOM & BOARD - NICU LEVEL II
"HC PULSE OXIMETRY, MULTIPLE DETERM",Monitoring,0.91,HC PULSE OXIMETRY MULT DETERMINAT
"HC RECOVERY, LEVEL 3",Laboratory,0.8,PAH RECOVERY LEVEL II - STATIS
HC SWALLOW FUNCTION W/ CINE/VIDEO,Radiology,0.75,27423000 - XR SWALLOW FUNC W/CINE-VIDEO
MULTIVITAMIN WITH IRON 0.25 ML LIQD 0.25 ML SYRINGE,Pharmacy,1,MULTIVITAMIN WITH IRON 0.25 ML LIQD 0.25 ML SYRINGE
CBC WITH AUTO DIFFERENTIAL,Laboratory,1,CBC WITH AUTO DIFFERENTIAL
BUN,Laboratory,1,BUN
CAFFEINE CITRATE 20 MG/ML SOLN 3 ML VIAL,Pharmacy,1,CAFFEINE CITRATE 20 MG/ML SOLN 3 ML VIAL
ELECTROLYTE PANEL (CHEM 4),Laboratory,1,ELECTROLYTE PANEL (CHEM 4)
OXYGEN DAILY,Respiratory Therapy,1,OXYGEN DAILY
CYSTEINE (L-CYSTEINE) 50 MG/ML SOLN 50 ML EXTEMP,Pharmacy,1,CYSTEINE (L-CYSTEINE) 50 MG/ML SOLN 50 ML EXTEMP
SODIUM ACETATE 2 MEQ/ML SOLN 20 ML EXTEMP,Pharmacy,1,SODIUM ACETATE 2 MEQ/ML SOLN 20 ML EXTEMP
CAFFEINE CITRATE 20 MG/ML INJ 3 ML SYRINGE,Pharmacy,1,CAFFEINE CITRATE 20 MG/ML INJ 3 ML SYRINGE
PEDIATRIC TRACE MINERALS SOLN 10 ML VIAL,Pharmacy,1,PEDIATRIC TRACE MINERALS SOLN 10 ML VIAL
SODIUM CHLORIDE 4 MEQ/ML SOLN 30 ML VIAL,Pharmacy,1,SODIUM CHLORIDE 4 MEQ/ML SOLN 30 ML VIAL
"MVI, PEDIATRIC INJ 10 ML EXTEMP",Pharmacy,1,MVI  PEDIATRIC INJ 10 ML EXTEMP
CREATININE-BLOOD,Laboratory,1,CREATININE BLOOD
HEPARIN (PORCINE) 100 UNIT/ML SOLN 250 ML EXTEMP,Diluent / Flush / Irrigant,1,HEPARIN (PORCINE) 100 UNIT/ML SOLN 250 ML EXTEMP
VENT SUPPORT INITIAL DAY,Respiratory Therapy,1,VENT SUPPORT INITIAL DAY
MULTIVITAMIN WITH IRON 0.5 ML LIQD 0.5 ML SYRINGE,Pharmacy,1,MULTIVITAMIN WITH IRON 0.5 ML LIQD 0.5 ML SYRINGE
BILIRUBIN TOTAL BODY FLUID,Laboratory,1,BILIRUBIN TOTAL BODY FLUID
CPAP VENT INIT & MANAGEMENT,Respiratory Therapy,1,CPAP VENT INIT & MANAGEMENT
MRI-BRAIN W/O CNTRST,Radiology,1,MRI-BRAIN W/O CNTRST
FAT EMULSION 20 % EMUL 50 ML SYRINGE,Pharmacy,1,FAT EMULSION 20 % EMUL 50 ML SYRINGE
NACL 4 MEQ/ML SOLN 30 ML VIAL,Pharmacy,1,NACL 4 MEQ/ML SOLN 30 ML VIAL
"STERILE WATER TPN SOLN 1,000 ML EXTEMP",Diluent / Flush / Irrigant,1,STERILE WATER TPN SOLN 1 000 ML EXTEMP
SODIUM BLOOD,Laboratory,1,SODIUM BLOOD
TROPHAMINE 10 % SOLN 500 ML GLASS CONT,Pharmacy,1,TROPHAMINE 10 % SOLN 500 ML GLASS CONT
"DEXTROSE 70 % SOLN 2,000 ML EXTEMP",Pharmacy,1,DEXTROSE 70 % SOLN 2 000 ML EXTEMP
PHOSPHORUS BLOOD,Laboratory,1,PHOSPHORUS BLOOD
CALCIUM GLUCONATE 10 % SOLN 10 ML EXTEMP,Pharmacy,1,CALCIUM GLUCONATE 10 % SOLN 10 ML EXTEMP
CYCLOPENTOLATE-PHENYLEPHRINE 0.2-1 % SOLN 2 ML BOTTLE,Pharmacy,1,CYCLOPENTOLATE-PHENYLEPHRINE 0.2-1 % SOLN 2 ML BOTTLE
ROOM & BOARD - NICU LEVEL III,Room and Board,1,ROOM & BOARD - NICU LEVEL III
AUDIT EVOKED POTENTIAL LIMITED,PT / OT / Speech Therapy,1,AUDIT EVOKED POTENTIAL LIMITED
HEPARIN 100 UNIT/ML SOLN 30 ML EXTEMP,Diluent / Flush / Irrigant,1,HEPARIN 100 UNIT/ML SOLN 30 ML EXTEMP
MAGNESIUM SULFATE 50 MG/ML 50 ML SYRINGE,Pharmacy,1,MAGNESIUM SULFATE 50 MG/ML 50 ML SYRINGE
XRAY ABDOMEN (KUB) SINGLE VIEW,Radiology,1,XRAY ABDOMEN (KUB) SINGLE VIEW
RH TYPE,Laboratory,1,RH TYPE
CALCIUM BLOOD,Laboratory,1,CALCIUM BLOOD
PHYTONADIONE 1 MG/0.5ML SOLN 0.5 ML SYRINGE,Pharmacy,1,PHYTONADIONE 1 MG/0.5ML SOLN 0.5 ML SYRINGE
POTASSIUM ACETATE 2 MEQ/ML SOLN 20 ML EXTEMP,Pharmacy,1,POTASSIUM ACETATE 2 MEQ/ML SOLN 20 ML EXTEMP
DAT-IGG,Laboratory,1,DAT-IGG
RETICULOCYTE AUTOMATED,Laboratory,1,RETICULOCYTE AUTOMATED
VENT SUPPORT EA ADD DAY,Respiratory Therapy,1,VENT SUPPORT EA ADD DAY
REPLOGLE CATHETER,Supply,1,REPLOGLE CATHETER
COMPLETE CBC AUTOMATED,Laboratory,1,COMPLETE CBC AUTOMATED
AMINO ACIDS (TROPHAMINE) 10 % SOLN 500 ML GLASS CONT,Pharmacy,1,AMINO ACIDS (TROPHAMINE) 10 % SOLN 500 ML GLASS CONT
XRAY CHEST SINGLE VIEW FRONTAL,Radiology,1,XRAY CHEST SINGLE VIEW FRONTAL
INTRA-PULM SURFACTANT ADMIN,Respiratory Therapy,1,INTRA-PULM SURFACTANT ADMIN
BLOOD BAS (POINT OF CARE),Monitoring,1,BLOOD BAS (POINT OF CARE)
BILIRUBIN DIRECT,Laboratory,1,BILIRUBIN DIRECT
INDOMETHACIN 1 MG SOLR 1 EACH VIAL,Pharmacy,1,INDOMETHACIN 1 MG SOLR 1 EACH VIAL
TETRACAINE 0.5 % SOLN 15 ML BOTTLE,Pharmacy,1,TETRACAINE 0.5 % SOLN 15 ML BOTTLE
PKU NEONATAL SCREEN,Laboratory,1,PKU NEONATAL SCREEN
POTASSIUM BLOOD,Laboratory,1,POTASSIUM BLOOD
PROTHROMBIN TIME W/INR,Laboratory,1,PROTHROMBIN TIME W/INR
CMV QUANTITATIVE PCR,Laboratory,1,CMV QUANTITATIVE PCR
POTASSIUM CHLORIDE 2 MEQ/ML SOLN 250 ML GLASS CONT,Pharmacy,1,POTASSIUM CHLORIDE 2 MEQ/ML SOLN 250 ML GLASS CONT
PTT (PARTIAL THROMBOPLASTIN TIME),Laboratory,1,PTT (PARTIAL THROMBOPLASTIN TIME)
ECHO EXAM OF HEAD,Radiology,1,ECHO EXAM OF HEAD
ERYTHROMYCIN 0.5 % OINT 1 G PACKET,Pharmacy,1,ERYTHROMYCIN 0.5 % OINT 1 G PACKET
ABO GROUP,Laboratory,1,ABO GROUP
CRP-HIGH SENSITIVITY,Laboratory,1,CRP-HIGH SENSITIVITY
99285 LEVEL 5,Room and Board,0.69,ER LEVEL V
CULTURE BLOOD,Laboratory,1,CULTURE BLOOD
FIBRINOGEN,Laboratory,1,FIBRINOGEN
"BILL SO FLOW CYTOMETRY, EACH ADDITIONAL MARKER 88185",PT / OT / Speech Therapy,0.69,OT SLF CARE/HOME MGT TRAIN EA 15M
MASK ADULT OXYGEN NEW,Radiology,0.75,XRAY ABDOMEN (KUB) SINGLE VIEW
DAILY SUPPLY 33 FMC,Supply,0.7,DAILY MEDICAL SUPPLIES
"INFLUENZA, QUADRIVAL VACC PF INJ 0.5 ML",Pharmacy,0.79,INFLUENZA QUADRIVALENT PEDIATRIC (6-35MOS) VACC
PHOSPHORUS LEVEL,Laboratory,0.89,PHOSPHORUS
"BILL AP, DECALCIFICATION",Nursing Services,0.72,CAPILLARY BLD COLLECTION
PICC US GUIDED VASCULAR ACCESS - NURSING,Radiology,0.77,27054010 - US GUIDED VASCULAR ACCESS
SODIUM CHLORIDE 0.9% 1000ML,Diluent / Flush / Irrigant,0.99,SODIUM CHLORIDE 0.9% 100ML
CLIP HEMOSTATIC MED. TI.,Laboratory,0.73,COMPAT TEST
"HOMOGENATION TISSUE, FOR CULTURE",Laboratory,0.77,HOMOGENIZATION OF TISSUE
NEEDLE ANGIO,Supply,0.77,NEEDLE ANGIOGRAPHIC S1 ANGIOSET 18 GAUGE
LMA SUPREME SIZE 4,Laboratory,0.73,AMYLASE  SERUM
ANESTHESIA GENERAL,OR / Anesthesia / Recovery Room,0.86,ANESTHESIA
CHLORAPREP WITH TINT 26ML,Pharmacy,1,CHLORAPREP WITH TINT 26ML
PACK MINOR SURGERY FMC,Supply,0.74,PACK-MAJOR SURGERY HCHG PACK-MAJOR SURGERY
MULTIVITAMIN THERAPEUTIC TAB,Pharmacy,0.8,MULTIVITAMIN WITH MINERALS TABS
ELECTROCARDIOGRAM - 12 LEAD,Cardiology,0.93,ELECTROGARDIOGRAM  12 LEAD
PICC/MIDLINE PLCMT AGE 5 & OVER,Pharmacy,0.68,HC PIPERACILLIN/TAZO 4 5 GM
ENOXAPARIN 100MG/ML INJ,Pharmacy,0.94,ENOXAPARIN 10MG INJ
TRAY BIOPSY,Supply,0.9,TRAY BIOPSY DISP
ECHOCARDIOGRAM/2D/DOPPLER R/COLOR DOPPLER,Cardiology,0.79,ECHOCARDIOGRAM
C-REACTIVE PROCEIN,Laboratory,0.96,C - REACTIVE PROTEIN
FERRITIN,Laboratory,1,FERRITIN
XR CHEST SINGLE VIEW,Radiology,0.96,CHEST SINGLE VIEW
COMPLETE BLOOD COUNT WITH DIFF,Laboratory,0.76,COMPLETE CBC W AUTO DIFF WBC 2
BASIC METABOLIC PANEL TOTAL CALCIUM,Laboratory,0.91,BASIC METABOLIC PANEL (CA TOTAL)
XR CHEST PA/LAT 2 VIEW,Radiology,0.86,XR CHEST PA & LAT
LIQUID MASTISOL ADHESIVE,Radiology,0.68,US DPLR LIMIT ABD PELVIS S
"MYCOBACTERIUM CULTURE, MISCELLANEOUS SOURCE",Radiology,0.71,MR MRS
HEMOGLOBIN A1C,Laboratory,0.95,HEMOGLOBIN ALC
"BAND COBAN 3""",Laboratory,0.73,C BUN ADD-ON
CONTRAST ISOVUE-300 100ML/LOCM,Pharmacy,0.79,(CONTRAST) IOHEXOL 300 MG/
"BILL AP, IMMUNOPEROXIDASE PER SP I",Supply,0.72,ISOLATION SUPPLIES
WARFARIN 5MG TAB,Pharmacy,0.98,WARFARIN 5 MG TABS
"BILL HE, ASPIRATE INTERPRET",Laboratory,0.72,BRAIN NATIURETIC PEPT
MAGNESIUM LEVEL,Laboratory,0.88,MAGNESIUM
LACTATED RINGERS 1000ML,Pharmacy,0.97,LACTATED RINGERS 1000
BIOPSY SYSTEM ONCONTROL,Laboratory,0.7,POTASSIUM (K) POCT
CT ABDOMEN & PELVIS WITH CONTRAST,Radiology,0.87,CT ABDOMEN+PELVIS W/O CONTRAST
TROPONIN T,Laboratory,0.94,TROPONIN QNT
SMEAR GRAM STAIN,Laboratory,1,SMEAR GRAM STAIN
GROUNDING PAD BOVIE FMC,Monitoring,0.69,POC-SODIUM (NA) GEM
"BILL AP, FROZEN",Supply,0.69,BILI BLANKET
CEFAZOLIN 1GM/SVI 10ML SYRINGE,Pharmacy,0.83,CEFAZOLIN 1 G VL
COLLECTION VENOUS DRAW,Nursing Services,1,COLLECTION VENOUS DRAW
"BILL SO FLOW CYTOMETRY, CELL SURFACE, FIRST MARKER 88184",Laboratory,0.68,RETIC  FLOW CYTOMETRY (ARE
CT NECK SOFT TISSUE W/ CONTRAST,Radiology,0.85,CT NECK SOFT TISS
LACTATE DEHYDROGENASE,Laboratory,0.87,LACTATE DEHYD
D DIMER HS,Laboratory,0.92,D DIMER
SHEET SPLIT,Supply,0.81,SHEET CV SPLIT WITH TROUGHS
"BILL SO CHROMOSOME ANALYSIS, BM",Laboratory,0.68,BLOOD GASES ANY COMBINATIO
CT CTA CHEST (NON-CORONARY) W/WO,Implant,0.73,HC CORONARY STENT NON COATED
BILLED HEALTHMET OF ARIZEP,Laboratory,0.71,LDH
PICC CATHETER 5FR DUAL POWER COMPLETE,Cardiology,0.78,ECHO TTE W/DOPPLER  COMPLETE
PACK GOWN ROYALSILK XXL FMC,Nursing Services,0.68,CAPILLARY STICK
CT GUIDED NEEDLE BIOPSY,Laboratory,0.68,TRIGLYCERIDES BODY FLUID
US DUP EXC VEINS BILAT,Radiology,0.72,US PELVIS LIMITED
IV EXTENSION Y SALINE LOCK,Supply,0.8,IV EXTENSION Y TYPE
ROOM CHG 3S FMC,Room and Board,0.72,ROOM NICU M
SHEET X LARGE DRAPE,Supply,0.77,HEEL WARMER
BETA HUMAN CHORIONIC GONADOTROPIN QUANTITATIVE,Laboratory,0.72,UREA NITROGEN QUANTITATIVE
ONDANSETRON 2MG/ML INJ 2ML,Pharmacy,0.91,ONDANSETRON 4 MG/2 ML INJ
"BILL AP, SPECIAL STAINS GROUP II CHEMICAL",Pharmacy,0.71,AMPICILLIN-SULBACTAM 3 GRAM SOLR 1 EACH VIAL
FENTANYL 0.05MG/ML INJ 2ML,Pharmacy,0.9,FENTANYL 0.05 MG/ML SOLN 2 ML VIAL
