Original Description,Charge Class,Confidence Score,Matches,Counts
CHLORHEXIDINE GLUC 0.12% LIQ 1,"Supply, Pharmacy",,"CHLORHEXIDINE 0.12 % MWSH, CHLORHEXIDINE GLUCONATE 4 % LIQD, CHLORHEXIDINE GLUCONATE 0.12 % MWSH, CHLORHEXIDINE 0.12% MWSH, CHLORHEXIDINE 0.12% SOLN",5
GAUZE VASELINE 3X9,,,,0
BLISTEX OINT,Pharmacy,0.88,BLISTEX,1
MIDAZOLAM 2 MG/2 ML INJECTION,"OR / Anesthesia / Recovery Room, Pharmacy",,"MIDAZOLAM 1 MG/ML SOLN, MIDAZOLAM 2 MG/2 ML INJECTION, MIDAZOLAM 2 MG/2ML SOLN, MIDAZOLAM 5 MG/ML SOLN, MIDAZOLAM 5MG/5ML INJ, MIDAZOLAM 5 MG/ML INJECTION SOLUTION, MIDAZOLAM 2MG/2ML VIAL, MIDAZOLAM 2MG/2ML INJ, MIDAZOLAM 2 MG INJ, MIDAZOLAM PF 5 MG/ML INJECTION SOLUTION",10
PLEUREVAC ATRIUM 2002 SINGLE,,,,0
SET ARTERIAL/VENOUS LINES-9792,,,,0
URINE CULTURE/COLONY COUNT,Laboratory,0.8833333333333333,"URINE CULTURE/COLONY COUNT, CULTURE URINE COL COUNT, CULT URINE - COLONY CT",3
PATCH NEPTUNE 2X2,,,,0
CHORIONIC GONADOTROPIN TEST,Laboratory,0.83,CHORIONIC GANADOTROPIN ASSAY,1
HOLDER TRACH TUBE,,,,0
GAUZE 4X4 STERILE (10 PK)_W,Supply,1.0,GAUZE 4X4 STERILE (10 PK)_W,1
INSULIN HUMAN REGULAR,Pharmacy,0.8466666666666667,"INSULIN REGULAR HUMAN 100, INSULIN HUMAN REG 5 UNITS, INSULIN HUMAN LISPRO 5 UNI",3
FLUCONAZOLE 200MG/NS 100ML INJ,Pharmacy,0.858,"FLUCONAZOLE 2 MG/ML PGBK, FLUCONAZOL 200MG-400MG NS 200ML, FLUCONAZOLE 200-0.9 MG/100ML-% SOLN, FLUCONAZOLE 200MG/NS 100ML INJ, FLUCONAZOLE 400-0.9 MG/200ML-% SOLN",5
ABD PAD,,,,0
MANNITOL 20% INJ 500ML,Pharmacy,0.85,MANNITOL 50ML,1
SO LEGION PNEUMOPHILIA AG IF,Laboratory,0.87,LEGION PNEUMOPHILIA AG IF 1,1
PT EVALUATION,"Respiratory Therapy, PT / OT / Speech Therapy",,"OT EVALUATION, PT EVALUATION, RT EVALUATION DAILY, RE-EVALUATION OT, PT EVAL UP TO 30M, EVALUTION",6
BAG AMBU CO2,,,,0
OXISENSOR,Supply,0.8825,"O2 SENSOR, OXISENSOR  INFANT  MASIMO, OXISENSOR NEONATAL, OXISENSOR",4
EVALUATION SWALLOWING FUNCTION,PT / OT / Speech Therapy,0.81,EVALUATION OT,1
KIT TRACH CARE,Supply,0.8099999999999999,"TRACH CARE KIT, KIT MOUTH CARE, KIT MOUTHCARE",3
FLUMAZENIL 0.5 MG/5 ML INJ,,,,0
SMEAR GRAM STAIN 2,Laboratory,0.91,"HC SMEAR GRAM GIEMSA, HC SMEAR GRAM STAIN, SMEAR GRAM STAIN",3
MINI-NEB TX SUBSEQUENT,,,,0
NACL 0.9% INJ 250ML,Diluent / Flush / Irrigant,0.8614999999999998,"0.9% NACL 250ML, IV NACL 0.9% 100ML, NACL .9 100ML, NACL .9 250ML, NACL .9 50ML, NACL 0.9, NACL 0.9% *MBP* INJ 100ML, NACL 0.9% 100ML, NACL 0.9% 250ML, NACL 0.9% 250ML J, NACL 0.9% INJ 10ML, NACL 0.9% INJ 250ML, NACL 0.9% *MBP* INJ 100 ML, NACL 0.9% *MBP* INJ 50 ML, NACL 0.9% INJ 50 ML, NACL 0.9% *PF* INJ, NACL 0.9% 1000ML, NACL 0.9% INJ QS TO 250 ML, .9% NACL 500ML, NACL 0.9RIGATION 250ML BTL",20
TRAY TRACH BLUE RHINO 6FR G125,,,,0
FENTANYL 2500MCG/NACL 0.9% 250,"Diluent / Flush / Irrigant, Pharmacy",,"FENTANYL 250MCG/5ML INJ, FENTANYL 2.500MCG/NS 250ML BAG, FENTANYL 50MCG/ML 5ML, FENTANYL 250 MCG/5 ML INJ",4
PROMETHAZINE 25 MG INJECTION,Pharmacy,0.9199999999999999,"PROMETHAZINE 25 MG INJECTION, PROMETHAZINE 25 MG/1",2
NACL 0.9% INJ 500ML,Diluent / Flush / Irrigant,0.8683333333333334,"IV NACL 0.9% 100ML, NACL .9 100ML, NACL .9 50ML, NACL 0.9, NACL 0.9% *MBP* INJ 100ML, NACL 0.9% 100ML, NACL 0.9% 100ML MBP, NACL 0.9% 250ML, NACL 0.9% 250ML J, NACL 0.9% INJ 10ML, NACL 0.9% INJ 250ML, NACL 0.9% *MBP* INJ 100 ML, NACL 0.9% *MBP* INJ 50 ML, NACL 0.9% INJ 50 ML, NACL 0.9% *PF* INJ, NACL 0.9% 1000ML, NACL 0.9% INJ QS TO 250 ML, .9% NACL 500ML",18
CALCIUM GLUCONATE 1000MG/10ML,"OR / Anesthesia / Recovery Room, Pharmacy",,"CALCIUM GLUCONATE 100 MG/M, CALCIUM GLUCONATE 10 % SOLN 10 ML VIAL, CALCIUM GLUCONATE 100 MG/ML SOLN, CALCIUM GLUCONATE PER 10 ML, CALCIUM GLUCONATE 10 % SOLN 10 ML EXTEMP, CALCIUM GLUC 10%10ML, CALCIUM GLUCON.10ML-100MG/ML, 11555222 - CALCIUM GLUCONATE PER 10 ML, CALCIUM GLUCONATE 10 ML INJ, CALCIUM GLUCONATE 100 MG/ML 10% INTRAVENOUS SOLUTION",10
NACL 0.9% *ADV* INJ 100 ML,Diluent / Flush / Irrigant,0.8557142857142858,"IV NACL 0.9% 100ML, NACL .9 100ML, NACL 0.9% *MBP* INJ 100ML, NACL 0.9% 100ML, NACL 0.9% 100ML MBP, NACL 0.9% 250ML, NACL 0.9% INJ 10ML, NACL 0.9% INJ 250ML, NACL 0.9% *MBP* INJ 100 ML, NACL 0.9% *MBP* INJ 50 ML, NACL 0.9% INJ 50 ML, NACL 0.9% *PF* INJ, NACL 0.9% 1000ML, NACL 0.9% INJ QS TO 250 ML",14
RISPERIDONE 0.5MG DIS TAB,,,,0
TAPE TRANSPORE 1,,,,0
SO N.GONORRHOEAE DNA AMP PROB,,,,0
ASSAY OF TROPONIN QUANT,Laboratory,0.81,ASSAY OF PROLACTIN,1
ACETAMINOPHEN 1000MG/100ML INJ,Pharmacy,0.8655555555555555,"ACETAMINOPHEN 10 MG/ML SOL, ACETAMINOPHEN 1000MG/100ML INJ, ACETAMINOPHEN 160 MG/5 ML, ACETAMINOPHEN 160 MG/5 ML SUSP, ACETAMINOPHEN 320 MG/ML SO, ACETAMINOPHEN 1000MG/100ML VL, ACETAMINOPHEN 500 MG TAB, ACETAMINOPHEN 32 MG/ML SUSP, ACETAMINOPHEN 160 MG/5ML SOLN",9
INSULIN REG 100U/ML INJ 10ML,"Diluent / Flush / Irrigant, Pharmacy",,"HEPARIN 100 UNIT/ML INJ (10ML), INSULIN REGULAR 100UN/ML INJ 3",2
PROC LEV 2 @15 MIN ADDL,,,,0
COLOR DOPPLER,Cardiology,0.855,"COLOR FLOW DOPPLER, ECHO DOPPLER",2
SO BLOOD TYPING ABO,Laboratory,0.876,"HC BLOOD TYPING ABO, BLOOD TYPING ABO 1, ABO BLOOD TYPING, LAB BLOOD TYPING ABO, HCHG BLOOD TYPING ABO",5
ECHO TRANSESOPHAGEAL,,,,0
VALVE TRACH VENT SPEAK PMV007,,,,0
ASSAY OF CK (CPK),Laboratory,0.8,ASSAY OF CALCIUM,1
CHLORAPREP W/TINT 10.5ML,Pharmacy,0.8833333333333333,"CHLORAPREP 25 ML, CHLORAPREP W/TINT 10.5ML, CHLORAPREP WITH TINT 26ML",3
TAPE DUROPORO 2 SILK,,,,0
FUNGI IDENTIFICATION YEAST,,,,0
LIDOCAINE-PF 1% 30 ML INJ,Pharmacy,0.8711111111111111,"LIDOCAINE (PF) 1 % SOLN, LIDOCAINE 1 % SOLN, LIDOCAINE 2 % SOLN, LIDOCAINE PER 10 MG, LIDOCAINE-PF 1% 30 ML INJ, LIDOCAINE HCL 10MG-1%20 ML INJ, LIDOCAINE MPF1% 30ML, LIDOCAINE 1% 20 ML INJ, LIDOCAINE 1% 50ML",9
POLYVIN ALCOH 1.4% OPHTH SOL 1,,,,0
IMMUNOHISTOCHEMISTRY,Laboratory,0.88,"PF-IMMUNOHISTOCHEMISTRY 1ST, HB IMMUNOHISTOCHEMISTRY 1ST",2
CATH SUCTION 14-16 FRAZIER,Supply,0.8,CATH SUCTION ELBOW 14FR,1
LIPID PROFILE,Laboratory,1.0,LIPID PROFILE,1
VANCOMYCIN 10 GRAM SOLR 1 EACH VIAL,Pharmacy,0.8380000000000001,"VANCOMYCIN 50 MG/ML SOLR 1 EACH VIAL, VANCOMYCIN 500 MG SOLR 1 EACH VIAL, VECURONIUM 1 MG/ML SOLR 1 EACH VIAL, VANCOMYCIN 10 GRAM INTRAVENOUS SOLUTION, VANCOMYCIN 1 000 MG SOLR 1 EACH VIAL",5
SPIRONOLACTONE 25 MG TAB 100 EACH BLI*,Pharmacy,0.8733333333333334,"SPIRONOLACTONE 25 MG TAB 500 EACH BOTTLE, SPIRONOLACTONE 5MG/1ML ORAL, SPIRONOLACTONE 25 MG TAB",3
MORPHOLOGY EXAM,,,,0
PRAVASTATIN 10 MG TAB 100 EACH BLIST *,Pharmacy,0.85,PRAVASTATIN 20 MG TABS,1
"HEPARIN (PORCINE) 5,000 UNIT/ML SOLN *","OR / Anesthesia / Recovery Room, Diluent / Flush / Irrigant, Pharmacy",,"HEPARIN (PORCINE) 10 UNI, HEPARIN (PORCINE) 10 UNIT/ML SOLN 3 ML SYRINGE, HEPARIN (PORCINE) 100 UNIT/ML SOLN, HEPARIN 50 UNITS/5 ML LO, HEPARIN INF 25000UN, HEPARIN (PORCINE) (PF) 5 000 UNIT 0.5 ML SYRG, HEPARIN 5000 UNIT/ML SOLN, HEPARIN (PORCINE) 25 000 U, HEPARIN (PORCINE) 50-0.45 UNIT/ML-% SOLN, HEPARIN (PORCINE) PF 5 000UNITS/0.5ML SYRG, HEPARIN (PORCINE) 1 000 UNIT/ML SOLN 1 ML VIAL, HEPARIN (PORCINE) 100 UNIT/ML SOLN 250 ML EXTEMP, HEPARIN 5 000UNITS/ML INJ, HEPARIN (PORCINE) PER 1000 UNITS, HEPARIN PORCINE 1000 UNITS, HEPARIN PORCINE PF 1 000UNIT/500 ML IN 0.9 % SODIUM CHLORIDE IV, HEPARIN PORCINE 1 000 UNIT/ML INJECTION SOLUTION",17
CARVEDILOL 3.125 MG TAB 100 EACH BLIS*,Pharmacy,0.855,"CARVEDILOL 3.125 MG TAB, CARVEDILOL 6.25MG TB",2
ROOM ICU STEP DOWN,Room and Board,0.8300000000000001,"HC CCU ROOM - STEP DOWN, ROOM ACUTE",2
CHEM 10,,,,0
NAFCILLIN 2 GRAM/100 ML PGBK 100 ML B*,,,,0
COLCHICINE 0.6 MG TAB 100 EACH BOTTLE,Pharmacy,0.84,COLCHICINE 0.6 MG TABS,1
PIPERACILLIN-TAZOBACTAM 3.375 GRAM/50*,Pharmacy,0.8716666666666667,"PIPERACILLIN-TAZO 3.375GM INJ, PIPERACILLIN-TAZOBACTAM 3.375 GM/50ML SOLN, PIPERACILLIN-TAZOBACTAM 40, PIPERACILLIN-TAZOBACTAM 4., PIPERACILLIN / TAZOBACTAM, PIPERACILLIN-TAZOBACTAM 1.125 G IV",6
XRAY-PORTABLE CHEST 1 VIEW,,,,0
CLOPIDOGREL 75 MG TAB 1 EACH BLIST PA*,Pharmacy,0.88,"CLOPIDOGREL 75 MG TABS, CLOPIDOGREL 75 MG TAB 90 EACH BOTTLE, CLOPIDOGREL 75 MG TABLET",3
BASIC METABOLIC PANEL,"Laboratory, OR / Anesthesia / Recovery Room",,"BASIC METABOLIC P, BASIC METABOLIC PANEL (CA TOTAL), BASIC METABOLIC PROFILE, BASIC METABOLIC PANEL, HC BASIC METABOLIC PANEL, BASIC METABOLIC SET, HB COMP METABOLIC PANEL, BASIC MET PANEL CA TOTL, 63527001 - BASIC METABOLIC PANEL, BASIC METABO CA TOTA, BASIC METABOLIC PANEL (BMP, BASIC METABOLIC PNL CALCIUM TOTAL, HB BASIC METABOLIC PANEL, BASIC METABOLIC PANEL T1 BASIC METABOLIC PANEL, HCHG BASIC METABOLIC PANEL",15
OXYCODONE-ACETAMINOPHEN 5-325 MG TAB *,Pharmacy,0.945,"HYDROCODONE-ACETAMINOPHEN 5-325 MG TABS, OXYCODONE-ACETAMINOPHEN 10-325 MG TABS, OXYCODONE-ACETAMINOPHEN 5-325 MG TABS, OXYCODONE - ACETAMINOPHEN, OXYCODONE-ACETAMINOPHEN 10-325 MG TABLET, OXYCODONE-ACETAMINOPHEN 5-325 MG TABLET",6
KIT MANIFOLD AUTOMATED BT-2000,,,,0
IOPAMIDOL 76 % SOLN 100 ML BOTTLE,,,,0
LACTIC ACID,"Laboratory, Monitoring",,"HB LACTIC ACID, HC LACTIC ACID, LACTATE (LACTIC ACID), LACTATE LACTIC ACID, LACTIC ACID, LACTIC ACID (LACTATE), LACTIC ACID (WBLA), LACTIC ACID-WB, LACTIC ACID ISTAT, LACTIC ACID ASSAY",10
$BILL BC GROUP PCR,,,,0
FUROSEMIDE 20 MG TAB 100 EACH BLIST P*,Pharmacy,0.84,"FUROSEMIDE 40MG TABS, FUROSEMIDE 80 MG TABS, FUROSEMIDE 20 MG TAB, FUROSEMIDE 40 MG TAB",4
DRAWING FEE,,,,0
HEPATIC FUNCTION PANEL,Laboratory,0.9283333333333333,"HC HEPATIC FUNCTION PANEL, HEPATC FUNC PANEL, HEPATIC FUNCTION, HEPATIC FUNCTION PANEL, HEPATIC FUNCTION PAN, 63406001 - HEPATIC FUNCTION PANEL",6
BLOOD CULTURE,"Laboratory, Nursing Services",,"BLOOD CULTURE FOR BACTERIA, CAP BLOOD PUNCTURE, 64053000 - BLOOD CULTURE, BLOOD CULTURE (BLD), BLOOD CULTURE AEROBIC",5
PANTOPRAZOLE 40 MG TBEC 100 EACH BLIS*,Pharmacy,0.8357142857142856,"PANTOPRAZOLE 40 MG SOLR 1 EACH VIAL, PANTOPRAZOLE 40 MG SOLR, PANTOPRAZOLE 40 MG TBEC, PANTOPRAZOLE 40MG EC T, PANTOPRAZOLE 40 MG INJ, PANTOPRAZOLE 40 MG TAB, PANTOPRAZOLE 40 MG TAB DR",7
"SODIUM CHLORIDE 0.9 % 0.9 % SOLP 1,00*","Diluent / Flush / Irrigant, Supply, Pharmacy",,"0.9% SODIUM CHLORIDE 0.9 % SOLN, SOD CHLOR 0.9%, SODIUM CHLORI, SODIUM CHLORID, SODIUM CHLORIDE, SODIUM CHLORIDE .9% 1000ML INJ, SODIUM CHLORIDE .9% INJ 1, SODIUM CHLORIDE .9% INJ 2, SODIUM CHLORIDE 0, SODIUM CHLORIDE 0., SODIUM CHLORIDE 0.45%, SODIUM CHLORIDE 0.45% FLUS, SODIUM CHLORIDE 0.9, SODIUM CHLORIDE 0.9 % 0.9, SODIUM CHLORIDE 0.9 % 0.9 % PGBK 100 ML ADDVANTAGE, SODIUM CHLORIDE 0.9 % IV SOLP, SODIUM CHLORIDE 0.9 % PGBK 100 ML BAG, SODIUM CHLORIDE 0.9 % SO, SODIUM CHLORIDE 0.9 % SOLN, SODIUM CHLORIDE 0.9 % SOLN 10 ML VIAL, SODIUM CHLORIDE 0.9 % SOLP, SODIUM CHLORIDE 0.9%, SODIUM CHLORIDE 0.9% 0.9, SODIUM CHLORIDE 0.9% 0.9 % SOLP, SODIUM CHLORIDE 0.9% 0.9 % SOLP 50 ML BAG, SODIUM CHLORIDE 0.9% 0.9% SOLN, SODIUM CHLORIDE 0.9% 0.9% SYRG 10 ML SYRINGE, SODIUM CHLORIDE 0.9% 100 ML BA, SODIUM CHLORIDE 0.9% 100ML, SODIUM CHLORIDE 0.9% 100ML 0264-1800-32, SODIUM CHLORIDE 0.9% 100ML IV, SODIUM CHLORIDE 0.9% 10ML SY, SODIUM CHLORIDE 0.9% 250ML I, SODIUM CHLORIDE 0.9% 250ML IV, SODIUM CHLORIDE 0.9% 25ML, SODIUM CHLORIDE 0.9% 50ML, SODIUM CHLORIDE 0.9% 50ML 5 0264-1800-31, SODIUM CHLORIDE 0.9% 50ML BAG, SODIUM CHLORIDE 0.9% 50ML MB+, SODIUM CHLORIDE 0.9% FLU, SODIUM CHLORIDE 0.9% INJ, SODIUM CHLORIDE 0.9% INJ 10ML, SODIUM CHLORIDE 0.9% IV, SODIUM CHLORIDE 0.9% IVPB  5, SODIUM CHLORIDE 0.9% QS BASE, SODIUM CHLORIDE 0.9% SO, SODIUM CHLORIDE 0.9% SOL, SODIUM CHLORIDE 0.9% SOL 100ML, SODIUM CHLORIDE 0.9% SOLN, SODIUM CHLORIDE 0.9% SOLN HPH0-0000-30, SODIUM CHLORIDE 0.9% SOLP, SODIUM CHLORIDE 0.9% SYRG, SODIUM CHLORIDE 0.9% VIAL 10ML, SODIUM CHLORIDE 10 ML SYR, SODIUM CHLORIDE INJ 0.9%, SODIUM CHLORIDE (PF) 0.9 % SOLN 10ML VIAL, SODIUM CHLORIDE 0.45% SOLP, SODIUM CHLORIDE 0.45% SOLP 500 ML BAG, SODIUM CHLORIDE 0.9 % SOLN 100 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 1 000 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 100 ML BAG, SODIUM CHLORIDE 0.9% SOLP 250 ML BAG, SODIUM CHLORIDE 0.9% SOLP 50 ML BAG, SODIUM CHLORIDE 0.9% SOLP 500 ML FLEX CONT, SODIUM CHLORIDE 3% SOLP, SODIUM CHLORIDE 0.9% 3ML INHA, SODIUM CHLORIDE 0.9% IV SOLP, SODIUM CHLORIDE 0.9 % PGBK 50 ML BAG, SODIUM CHLORIDE 3% 500ML, SODIUM CHLORIDE 0.9 % SOLP 50 ML BAG, SODIUM CHLORIDE 0.45 % SOLN 1 000 ML FLEX CONT, SODIUM CHLORIDE 0 9% SOLN, SODIUM CHLORIDE 0.9 % SOLP 250 ML BAG, SODIUM CHL 0.9% 100ML, SODIUM CHLORIDE 0.9% 250ML, SODIUM CHLORIDE 0.9% 0.9 % SOLP 1 000 ML BAG, SODIUM CHLORIDE 0.9 % SOLN 1 000 ML BOTTLE, SODIUM CHLORIDE 0.9 % SYRINGE",78
"SODIDM CHLORIDE 0.9 % SOLN 1,000 ML B*",Diluent / Flush / Irrigant,0.8224137931034482,"SOD CHLOR 0.9%, SODIUM CHLORIDE 0.9 % SO, SODIUM CHLORIDE 0.9 % SOLN, SODIUM CHLORIDE 0.9 % SOLN 10 ML VIAL, SODIUM CHLORIDE 0.9 % SOLP, SODIUM CHLORIDE 0.9% 100 ML BA, SODIUM CHLORIDE 0.9% 100ML, SODIUM CHLORIDE 0.9% 10ML SY, SODIUM CHLORIDE 0.9% SO, SODIUM CHLORIDE 0.9% SOL, SODIUM CHLORIDE 0.9% SOL 100ML, SODIUM CHLORIDE 0.9% SOLN, SODIUM CHLORIDE 0.9% SOLN HPH0-0000-30, SODIUM CHLORIDE 0.9% SOLP, SODIUM CHLORIDE 0.9% VIAL 10ML, SODIUM CHLORIDE (PF) 0.9 % SOLN 10ML VIAL, SODIUM CHLORIDE 0.45% SOLP 500 ML BAG, SODIUM CHLORIDE 0.9 % SOLN 100 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 1 000 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 100 ML BAG, SODIUM CHLORIDE 0.9% SOLP 250 ML BAG, SODIUM CHLORIDE 0.9% SOLP 50 ML BAG, SODIUM CHLORIDE 0.9 % SOLP 50 ML BAG, SODIUM CHLORIDE 0.45 % SOLN 1 000 ML FLEX CONT, SODIUM CHLORIDE 0 9% SOLN, SODIUM CHLORIDE 0.9 % SOLP 250 ML BAG, SODIUM CHL 0.9% 100ML, SODIUM CHLORIDE 0.9% 0.9 % SOLP 1 000 ML BAG, SODIUM CHLORIDE 0.9 % SOLN 1 000 ML BOTTLE",29
ACETAMINOPHEN 325 MG TAB 100 EACH BLI*,Pharmacy,0.8574999999999999,"ACETAMINOPHEN 325 MG TABS, ACETAMINOPHEN 320 MG/ML SO, ACETAMINOPHEN 500 MG TAB, ACETAMINOPHEN 325MG TAB, ACETAMINOPHEN 325 MG TAB, ACETAMINOPHEN 325 MG TABLET, ACETAMINOPHEN 325MG, ACETAMINOPHEN TAB 325MG U",8
MORPHINE 4 MG/ML CRTG 1 ML SYRINGE,Pharmacy,0.8150000000000001,"MORPHINE 2 MG/ML SOLN, MORPHINE 2 MG/ML SYRG, MORPHINE 4MG/ML INJ, MORPHINE 2MG/ML INJ",4
CPT JUDKINS CATH PACK,,,,0
PRAVASTATIN 20 MG TAB 100 EACH BLIST *,Pharmacy,0.8400000000000001,"PRAVASTATIN TAB 20MG 20 MG TAB, PRAVASTATIN 20 MG TABS",2
CARVEDILOL 12.5 MG TAB 100 EACH BLIST*,Pharmacy,0.825,"CARVEDILOL 3.125 MG TAB, CARVEDILOL 6.25MG TB",2
TSH,Laboratory,1.0,TSH,1
DEXTROSE 5% SOLP 500 ML BAG,"Diluent / Flush / Irrigant, Pharmacy",,"DEXTROSE 5 % SOLN, DEXTROSE 5 % SOLN 50 ML FLEX CONT, DEXTROSE 5%, DEXTROSE 5% (D5W) SOLP, DEXTROSE 5% 100ML, DEXTROSE 5% 250ML, DEXTROSE 5% 50ML, DEXTROSE 5% SOLN, DEXTROSE 5% SOLN 50 ML FLEX CONT, DEXTROSE 5% SOLP, DEXTROSE 20% SOLP 500 ML B, DEXTROSE SOLP, DEXTROSE 50% SOLN, DEXTROSE 5% SOLP 250 ML BA, DEXTROSE 5 % SOLP 250 ML BAG, DEXTROSE-50ML 50%, DEXTROSE 10% SOLP 1 000 ML, DEXTROSE 10% SOLP 250 ML B, DEXTROSE 10% SOLP 500 ML B, DEXTROSE 10% SOLP 500 ML BAG, DEXTROSE 5 % SOLN 250 ML FLEX CONT, DEXTROSE 5% SOLP 1 000 ML, DEXTROSE 5% SOLP 1 000 ML BAG, DEXTROSE 5% SOLP 100 ML BA, DEXTROSE 5% SOLP 100 ML BAG, DEXTROSE 5% SOLP 250 ML BAG, DEXTROSE 5% SOLP 50 ML BAG, DEXTROSE 5% SOLP 500 ML BA, DEXTROSE 5% SOLP 500 ML BAG, DEXTROSE 50 % SOLN, DEXTROSE 70% SOLP 2 000 ML, DEXTROSE 70% SOLP 2 000 ML BAG",32
LISINOPRIL 20 MG TAB 100 EACH BLIST P*,Pharmacy,0.8219999999999998,"LISINOPRL20MGTB+, LISINOPRIL 5 MG TAB, LISINOPRIL 15.25 2.5 MG TAB 100 EACH BOTTLE, LISINOPRIL 40 MG TABS, LISINOPRIL 5MG TAB",5
12 LEAD ECG INTERP (P/C),Cardiology,0.86,ECG 12 LEAD INTERP,1
POTASSIUM CHLORIDE 10 MEQ CPER 100 EA*,Pharmacy,0.8292,"POTASSIUM CHLORIDE 10 MEQ/100 ML PGBK, POTASSIUM CHLORIDE 10 MEQ/100ML SOLN, POTASSIUM CHLORIDE 10% 30ML LI, POTASSIUM CHLORIDE 2 MEQ/M, POTASSIUM CHLORIDE 2 MEQ/ML SOLP, POTASSIUM CHLORIDE IN STERILE WATER 40 MEQ/100 ML PGBK, POTASSIUM CHLORIDE PREMIXE, POTASSIUM CHLORIDE PREMIXED 20 MEQ/50 ML BAG PG, POTASSIUM CHLORIDE SA 20 MEQ TBCR, POTASSIUM CHLORIDE SR 20MEQ TA, POTASSIUM CL 10MEQ/10, POTASSIUM CHLOR 20 MEQ PO, POTASSIUM CHLORIDE 20MEQ/15ML, POTASSIUM CHLORIDE 10 ME, POTASSIUM CHLORIDE SA 20, POTASSIUM CHLORIDE 10 MEQ TABLET SUSTAINED RELE, POTASSIUM CHLORIDE 20MEQ TAB S, POTASSIUM CHLOR 20 MEQ SR, POTASSIUM CHLOR 20 MEQ/100, POTASSIUM CHLOR 20 MEQ/50, POTASSIUM CHLORIDE 2 MEQ INJ, POTASSIUM CHLORIDE 20 MEQ/15ML (10%), POTASSIUM CHLORIDE 20 MEQ/15ML (10%) SOLN, POTASSIUM CHLORIDE INJECTION PER 2 MEQ, POTASSIUM CHLORIDE PER 2 MEQ",25
LIDOCAINE 2 % SOLN 15 ML BLIST PACK,Pharmacy,0.82,"LIDOCAINE 2 % SOLN, LIDOCAINE 2% GEL 5 ML, LIDOCAINE PF 2% SOLUTION 5 ML VIAL",3
ASPIRIN 81 MG TBEC 100 EACH BLIST PACK,Pharmacy,0.89,ASPIRIN 81 MGCHEW 750 EACH BLIST PACK,1
MIDAZOLAM 1 MG/ML SOLN 5 ML VIAL,Pharmacy,0.8600000000000002,"LORAZEPAM 1:4 0.5 MG/ML SOLN 4 ML VIAL, MIDAZOLAM 1 MG/ML SOLN, MIDAZOLAM 10 MG/2ML SOLN, MIDAZOLAM 2 MG/2ML SOLN, MIDAZOLAM 5 MG/5ML SOLN, MIDAZOLAM 5 MG/ML SOLN, MIDAZOLAM 5 MG/ML SOLN 1 ML VIAL, MIDAZOLAM 5 MG/ML SOLN 10, MIDAZOLAM 5 MG/ML SOLN 10 ML VIAL, MIDAZOLAM 5 MG/ML SOLN 2 M, MILRINONE 1 MG/ML SOLN 10 ML VIAL, MILRINONE 1 MG/ML SOLN 50 ML VIAL, MIDAZOLAM 2MG/2ML VIAL, MIDAZOLAM 2MG/2ML INJ, MIDAZOLAM 1 MG/ML SOLN 2 ML VIAL, MIDAZOL HCL  1MG-1MG/ML 5 ML IN, MIDAZOLAM 1MG-MG/ML 2ML VL",17
