Procedure Code,# of desciptions,Unique charge classes,Unique rev codes names
01481621,3,Diluent / Flush / Irrigant,"Pharmacy, Drugs Requiring Specific Identification"
J 1170,3,Pharmacy,Drugs Requiring Specific Identification
01445592,3,Pharmacy,Pharmacy
82374,3,Laboratory,Laboratory
25825000,3,Pharmacy,Pharmacy
35027,3,Laboratory,"Laboratory, Radiology"
JLLOO,3,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
84300,3,Laboratory,Laboratory
01484124,3,Diluent / Flush / Irrigant,Pharmacy
60048,3,Laboratory,Laboratory
4047000050,3,Laboratory,Laboratory
01701093,3,Radiology,Radiology
80100000,3,Pharmacy,Pharmacy
01025024,3,Laboratory,Laboratory
01481846,3,Diluent / Flush / Irrigant,"Pharmacy, Drugs Requiring Specific Identification"
01482576,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
J0295,3,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
48525,3,"Pharmacy, Diluent / Flush / Irrigant",Drugs Requiring Specific Identification
70551,3,Radiology,MRI
85013,3,Laboratory,Laboratory
01453505,3,"Pharmacy, Laboratory",Pharmacy
50116722,3,OR / Anesthesia / Recovery Room,"Radiology, OR Services"
58731,3,"Pharmacy, Diluent / Flush / Irrigant",Drugs Requiring Specific Identification
80200,3,Laboratory,Laboratory
01482615,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
12481592,2,Pharmacy,Pharmacy
11504059,2,Supply,Implant/Supply
93970,2,Radiology,Other Diagnostic Services
"12962683
4",2,"Diluent / Flush / Irrigant, Pharmacy",Pharmacy
30053,2,Laboratory,Laboratory
15010 5,2,Pharmacy,Pharmacy
83001245,2,Laboratory,Laboratory
35049,2,Laboratory,Laboratory
13995092,2,Plan Benefit,Pharmacy
84481,2,Laboratory,Laboratory
01477132,2,Pharmacy,Pharmacy
01116920,2,Nursing Services,Laboratory
11501197,2,Supply,Implant/Supply
J 2185,2,Pharmacy,Drugs Requiring Specific Identification
01435700,2,Diluent / Flush / Irrigant,Pharmacy
03650000,2,Monitoring,Laboratory
5100479,2,Diluent / Flush / Irrigant,Pharmacy
30510032,2,Laboratory,Laboratory
4112503,2,Monitoring,"Emergency Room, Pulmonary Function"
11514526,2,Supply,Implant/Supply
11514497,2,Supply,Implant/Supply
B7040,2,Laboratory,Laboratory
12820632,2,Pharmacy,Pharmacy
11502978,2,Supply,Implant/Supply
03416096,2,Plan Benefit,Pulmonary Function
11513680,2,Supply,Implant/Supply
1000004,2,Room and Board,Intensive Care
01466275,2,Pharmacy,Pharmacy
11502858,2,Supply,Implant/Supply
11504018,2,Supply,Implant/Supply
2500002,2,Pharmacy,Pharmacy
30112229,2,Laboratory,Laboratory
30112248,2,Laboratory,Laboratory
82977,2,Laboratory,Laboratory
35384,2,Laboratory,Laboratory
27B950,2,Laboratory,Laboratory
07761,2,Pharmacy,Drugs Requiring Specific Identification
85018.0,2,Laboratory,Laboratory
11501583,2,Supply,Implant/Supply
30100146,2,Laboratory,Laboratory
27B957,2,Pharmacy,Drugs Requiring Specific Identification
J30 0,2,Pharmacy,Drugs Requiring Specific Identification
3310000340,2,Laboratory,Laboratory
01428945,2,Diluent / Flush / Irrigant,Pharmacy
B0076,2,Laboratory,Laboratory
11500583,2,Supply,Implant/Supply
11512852,2,Supply,Implant/Supply
82247.0,2,Laboratory,Laboratory
HCRX250637001,2,"Pharmacy, Supply",Pharmacy
03751740,2,PT / OT / Speech Therapy,PT/OT/Speech
62140,2,Laboratory,Laboratory
01442052,2,Pharmacy,Pharmacy
JO610,2,Pharmacy,Pharmacy
H20195,2,Pharmacy,Pharmacy
J703 0,2,Diluent / Flush / Irrigant,"Pharmacy, Drugs Requiring Specific Identification"
37040,2,Laboratory,Laboratory
11501603,2,Supply,Implant/Supply
01018753,2,Laboratory,Laboratory
11504494,2,Supply,Implant/Supply
258000001,2,Pharmacy,Pharmacy
015755,2,Pharmacy,Pharmacy
11512848,2,"Supply, Procedure",Implant/Supply
83520,2,Pharmacy,Laboratory
11501239,2,Supply,Implant/Supply
17041000,2,Room and Board,Room & Board
00926675,2,Laboratory,Laboratory
86014,2,"Laboratory, Monitoring",Laboratory
00926659,2,Laboratory,Laboratory
01481732,2,Pharmacy,Pharmacy
22001855,2,Laboratory,"Laboratory, Preventive Care Services"
01481641,2,Pharmacy,Pharmacy
03910013,2,Laboratory,Laboratory
01473479,2,Pharmacy,Pharmacy
80001654,2,Laboratory,Laboratory
01481620,2,Pharmacy,Pharmacy
30000001,2,Nursing Services,Laboratory
11502692,2,"Supply, Cardiology",Implant/Supply
35018,2,Laboratory,Laboratory
87493,2,Laboratory,Laboratory
11504376,2,Supply,Implant/Supply
11504375,2,Supply,Implant/Supply
J2274,2,Pharmacy,Pharmacy
01428523,2,Diluent / Flush / Irrigant,Pharmacy
01484239,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
180048,2,Laboratory,Laboratory
30B776,2,"Laboratory, Nursing Services",Laboratory
8501491,2,Laboratory,Laboratory
01015163,2,Laboratory,Laboratory
20800199,2,Pharmacy,Pharmacy
62962,2,Monitoring,Laboratory
3641S,2,Nursing Services,Laboratory
01466267,2,Pharmacy,Pharmacy
11501200,2,Supply,Implant/Supply
82810,2,"Laboratory, Monitoring",Laboratory
P9012,2,Blood Products,Blood
11510989,2,"Nursing Services, Supply",Implant/Supply
36000716,2,Nursing Services,"Laboratory, Treatment/Observation Room"
30002277,2,Laboratory,Laboratory
00925339,2,Laboratory,Laboratory
"12951056
2",2,Pharmacy,Pharmacy
J27 04,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
95610,2,Laboratory,Laboratory
I0048,2,Laboratory,Laboratory
87070.0,2,Laboratory,Laboratory
710 0,2,Radiology,Radiology
03412376,2,Respiratory Therapy,Respiratory Services
02405,2,Pharmacy,Pharmacy
11504399,2,Supply,Implant/Supply
01040,2,Laboratory,Laboratory
83001130,2,Laboratory,Laboratory
80162,2,Laboratory,Laboratory
800S3,2,Laboratory,Laboratory
A927 0GY,2,Pharmacy,Pharmacy
P9059,2,Blood Products,Blood
01046,2,Laboratory,Laboratory
52330,2,Laboratory,Laboratory
11512513,2,"Pharmacy, Supply",Implant/Supply
00925172,2,Laboratory,Laboratory
01481780,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
100001109,2,Respiratory Therapy,Implant/Supply
33502427,2,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
62803,2,Laboratory,Laboratory
12481222,2,Pharmacy,Pharmacy
S0020,2,Pharmacy,Pharmacy
11512789,2,Supply,Implant/Supply
11502661,2,Supply,Implant/Supply
065794,2,Pharmacy,Drugs Requiring Specific Identification
11502665,2,Supply,Implant/Supply
01023993,2,Monitoring,Laboratory
11512336,2,Supply,Implant/Supply
11512335,2,Supply,Implant/Supply
94150,2,Respiratory Therapy,"Respiratory Services, Pulmonary Function"
01023985,2,Monitoring,Laboratory
99291,2,"Room and Board, Other",Emergency Room
11510866,2,Supply,Implant/Supply
01427061,2,Pharmacy,Pharmacy
08499,2,Pharmacy,Pharmacy
01482649,2,Pharmacy,Pharmacy
80063,2,Laboratory,Laboratory
G8979,2,PT / OT / Speech Therapy,PT/OT/Speech
87205.0,2,Laboratory,Laboratory
97630,2,PT / OT / Speech Therapy,PT/OT/Speech
01023969,2,Monitoring,Laboratory
03416146,2,Respiratory Therapy,Respiratory Services
11512523,2,Supply,Implant/Supply
83505,2,Laboratory,Laboratory
3000001,2,Nursing Services,Laboratory
01467315,2,Pharmacy,Pharmacy
76377,2,"Radiology, Cardiology",CT Scan
87040.0,2,Laboratory,Laboratory
11501624,2,Supply,Implant/Supply
77644,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
01484748,2,Plan Benefit,Pharmacy
34478,2,Laboratory,Laboratory
01023365,2,Monitoring,Laboratory
J703D,2,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Cast/Recovery/Labor Room"
5040088,2,Pharmacy,"Pharmacy, IV Therapy"
86850.0,2,Laboratory,Laboratory
01301001,2,Nursing Services,Laboratory
50119106,2,Other,"Radiology, OR Services"
97003G0,2,PT / OT / Speech Therapy,PT/OT/Speech
J7510,2,Pharmacy,"Pharmacy, IV Therapy"
82495,2,Laboratory,Laboratory
01469774,2,Supply,Pharmacy
11505359,2,Supply,Implant/Supply
36569,2,Procedure,"OR Services, Treatment/Observation Room"
86664,2,Laboratory,Laboratory
94100,2,Laboratory,Laboratory
01481806,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
P9046,2,Pharmacy,Drugs Requiring Specific Identification
3100146,2,Laboratory,Laboratory
T7030,2,Diluent / Flush / Irrigant,"Pharmacy, Drugs Requiring Specific Identification"
01023951,2,"Laboratory, Monitoring",Laboratory
4047000075,2,Laboratory,Laboratory
58828,2,Pharmacy,Drugs Requiring Specific Identification
01465939,2,Pharmacy,Pharmacy
01454263,2,Pharmacy,Pharmacy
8222000,2,Laboratory,Laboratory
J1756,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
4047000070,2,Laboratory,Laboratory
1300409,2,Monitoring,Nursing
01015510,2,Laboratory,Laboratory
83 735,2,Laboratory,Laboratory
A92706Y,2,Pharmacy,Pharmacy
853 84,2,Laboratory,Laboratory
86415,2,Nursing Services,Laboratory
30014481,2,Laboratory,Laboratory
J16S0,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
86038,2,Laboratory,Laboratory
82272,2,Laboratory,Laboratory
"12962679
5",2,"Diluent / Flush / Irrigant, Pharmacy",Pharmacy
44600024,2,Monitoring,"Pulmonary Function, Cardiology"
82246,2,Laboratory,Laboratory
30112061,2,Laboratory,Laboratory
60040140,2,Laboratory,Laboratory
80053.0,2,Laboratory,Laboratory
11503504,2,Supply,Implant/Supply
7.31002604E8,2,Pharmacy,Pharmacy
27000023,2,"Supply, Respiratory Therapy",Implant/Supply
07050,2,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
83921,2,Laboratory,Laboratory
11501622,2,Supply,Implant/Supply
"12951387
0",2,Pharmacy,Pharmacy
"12951056
1",2,Pharmacy,Pharmacy
74176,2,Radiology,CT Scan
11512509,2,Supply,Implant/Supply
11501613,2,Supply,Implant/Supply
J1842,2,Diluent / Flush / Irrigant,"Pharmacy, Drugs Requiring Specific Identification"
65014,2,"Monitoring, Laboratory",Laboratory
37205,2,Laboratory,Laboratory
11513023,2,Supply,Implant/Supply
3310000320,2,Laboratory,Laboratory
85010,2,Laboratory,Laboratory
30100003,2,Laboratory,Laboratory
11513429,2,Supply,Implant/Supply
01481666,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
36600.0,2,Nursing Services,"Respiratory Services, Laboratory"
11513427,2,Supply,Implant/Supply
84550,2,Laboratory,Laboratory
32947,2,"Monitoring, Laboratory",Laboratory
82306,2,"Pharmacy, Laboratory",Laboratory
01468586,2,Supply,Pharmacy
01015122,2,Laboratory,Laboratory
02112498,2,Cardiology,Cardiology
J7644,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
30100001,2,Laboratory,Laboratory
85011,2,"Laboratory, Monitoring",Laboratory
3310000325,2,Laboratory,Laboratory
03412137,2,Respiratory Therapy,Implant/Supply
J1230,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
800000470,2,Monitoring,Laboratory
80098,2,Laboratory,Laboratory
96365,2,Nursing Services,Emergency Room
12481202,2,Pharmacy,Pharmacy
86644,2,Laboratory,Laboratory
82303,2,Laboratory,Laboratory
80001618,2,Laboratory,Laboratory
11501584,2,Supply,Implant/Supply
80001823,2,Laboratory,Laboratory
12481232,2,Pharmacy,Pharmacy
J 2405,2,Pharmacy,Drugs Requiring Specific Identification
76100048,2,OR / Anesthesia / Recovery Room,"Implant/Supply, Treatment/Observation Room"
065742,2,Pharmacy,Drugs Requiring Specific Identification
09713,2,Laboratory,Laboratory
02500003SODIUM,2,Diluent / Flush / Irrigant,Pharmacy
30100302,2,Laboratory,Laboratory
86880,2,Laboratory,Laboratory
01481616,2,Pharmacy,Pharmacy
80059,2,Laboratory,Laboratory
30112063,2,Laboratory,Laboratory
00926811,2,Laboratory,Laboratory
65018,2,Laboratory,Laboratory
11505510,2,Supply,Implant/Supply
97110GO,2,PT / OT / Speech Therapy,"PT/OT/Speech, Treatment/Observation Room"
50069,2,Laboratory,Laboratory
62947,2,"Monitoring, Laboratory",Laboratory
A7050,2,Diluent / Flush / Irrigant,"Pharmacy, Drugs Requiring Specific Identification"
01482023,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
07030,2,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
83930,2,Laboratory,Laboratory
01024660,2,Laboratory,Laboratory
B2962,2,Monitoring,Laboratory
86885,2,Laboratory,Laboratory
30182947,2,"Laboratory, Monitoring",Laboratory
J 1 650,2,Pharmacy,Drugs Requiring Specific Identification
30100006,2,Laboratory,Laboratory
SO 164,2,Pharmacy,"Drugs Requiring Specific Identification, Cast/Recovery/Labor Room"
01455112,2,Pharmacy,Pharmacy
TC101749,2,Supply,"Pharmacy, Implant/Supply"
71010.0,2,Radiology,Radiology
31815,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
J1630,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
30100004,2,Laboratory,Laboratory
11505588,2,Supply,Implant/Supply
86160,2,Laboratory,Laboratory
J2105,2,Pharmacy,Drugs Requiring Specific Identification
T7644,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
J7O30,2,Diluent / Flush / Irrigant,"Pharmacy, Cast/Recovery/Labor Room"
01023340,2,Laboratory,Laboratory
4658790,2,Laboratory,Laboratory
01447069,2,Pharmacy,Pharmacy
A9150,2,Pharmacy,Pharmacy
01481701,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
85652,2,Laboratory,Laboratory
00926626,2,Laboratory,Laboratory
30500011,2,Laboratory,Laboratory
01481771,2,Pharmacy,Pharmacy
94010,2,Respiratory Therapy,"OR Services, Pulmonary Function"
02 B046,2,Pharmacy,Drugs Requiring Specific Identification
302000193,2,Laboratory,Laboratory
607025,2,Pharmacy,Pharmacy
01429992,2,Pharmacy,Pharmacy
300000014,2,Pharmacy,Pharmacy
T7050,2,Diluent / Flush / Irrigant,"Pharmacy, Drugs Requiring Specific Identification"
82902,2,Monitoring,Laboratory
01100,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
80001820,2,Laboratory,Laboratory
11514494,2,Supply,Implant/Supply
11503999,2,Supply,Implant/Supply
60053,2,Laboratory,Laboratory
J 1200,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
85901,2,Laboratory,Laboratory
17644,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
96361,2,Nursing Services,"IV Therapy, Emergency Room"
11502495,2,Supply,Implant/Supply
84133,2,Laboratory,Laboratory
171642,2,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
J7507,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
01449768,2,Pharmacy,Pharmacy
034374,2,Respiratory Therapy,Implant/Supply
A4949,2,"Capital Equipment, Supply",Implant/Supply
30013978,2,Laboratory,Laboratory
00006,2,"Pharmacy, Other","Pharmacy, Emergency Room"
83050,2,Laboratory,Laboratory
11512037,2,Supply,Implant/Supply
97003 GO,2,PT / OT / Speech Therapy,PT/OT/Speech
82330.0,2,Laboratory,Laboratory
01481665,2,Pharmacy,Pharmacy
35014,2,Laboratory,Laboratory
36901,2,Laboratory,Laboratory
01521624,2,Laboratory,Laboratory
01412980,2,Pharmacy,Pharmacy
72704,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
"12961995
6",2,"Diluent / Flush / Irrigant, Pharmacy",Pharmacy
10011,2,"Pharmacy, Nursing Services","Drugs Requiring Specific Identification, Laboratory"
86787,2,Laboratory,Laboratory
34550,2,Laboratory,Laboratory
Q9957,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
800001762,2,Nursing Services,Laboratory
637100000,2,Pharmacy,Drugs Requiring Specific Identification
J 1842,2,Diluent / Flush / Irrigant,Pharmacy
97001 GP,2,PT / OT / Speech Therapy,PT/OT/Speech
02336931,2,Laboratory,Laboratory
84155,2,Laboratory,Laboratory
5412355,2,Diluent / Flush / Irrigant,"Pharmacy, Drugs Requiring Specific Identification"
81100,2,Laboratory,"Laboratory, EKG/ECG/EEG"
B2330,2,Laboratory,Laboratory
09725,2,Laboratory,Laboratory
4047000065,2,Laboratory,Laboratory
1683667,2,Pharmacy,"Implant/Supply, Drugs Requiring Specific Identification"
4047000060,2,Laboratory,Laboratory
006199,2,Pharmacy,Drugs Requiring Specific Identification
84157,2,Laboratory,Laboratory
01481754,2,Pharmacy,Pharmacy
84146,2,Laboratory,Laboratory
30000007,2,Laboratory,Laboratory
73000001,2,Cardiology,EKG/ECG/EEG
P9031,2,Blood Products,Blood
01019207,2,Laboratory,Laboratory
12962,2,Monitoring,Laboratory
800561,2,"Laboratory, Radiology","Laboratory, Other Imaging Services"
86132,2,"Monitoring, Laboratory",Laboratory
607000,2,Pharmacy,Pharmacy
HMM 33,2,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
80184,2,Laboratory,Laboratory
3 6600,2,Nursing Services,"Laboratory, Pulmonary Function"
10048,2,Laboratory,Laboratory
82465,2,Laboratory,Laboratory
19704531,2,Procedure,OR Services
11514563,2,Supply,Implant/Supply
11514642,2,Supply,Implant/Supply
3310000310,2,Laboratory,Laboratory
3310000315,2,Laboratory,Laboratory
82 40,2,Laboratory,Laboratory
30100232,2,Laboratory,Laboratory
J0461,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
J705C,2,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
30100235,2,Laboratory,Laboratory
J0744,2,Pharmacy,Pharmacy
30904200,2,Laboratory,Laboratory
83000002,2,"Laboratory, Monitoring",Laboratory
11512507,2,Supply,Implant/Supply
01701036,2,Radiology,Radiology
84464,2,Laboratory,Laboratory
047816,2,OR / Anesthesia / Recovery Room,Cast/Recovery/Labor Room
87176,2,Laboratory,Laboratory
177644,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
76705,2,Radiology,Other Imaging Services
00506675,2,OR / Anesthesia / Recovery Room,Anesthesia
01460708,2,Diluent / Flush / Irrigant,Pharmacy
33480,2,Pharmacy,Pharmacy
J849G,2,Pharmacy,Pharmacy
80040,2,Laboratory,Laboratory
01482654,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
80046,2,Laboratory,Laboratory
80049,2,Laboratory,Laboratory
01481760,2,Pharmacy,"Pharmacy, Medical Equipment"
91640,2,Respiratory Therapy,"Respiratory Services, Pulmonary Function"
13735,2,Laboratory,Laboratory
80002514,2,Laboratory,Laboratory
96376,2,Nursing Services,"Emergency Room, IV Therapy"
11513041,2,Supply,Implant/Supply
J7197,2,Plan Benefit,Pharmacy
00535,2,Laboratory,Laboratory
67011000,2,Radiology,"CT Scan, OR Services"
8004B,2,Laboratory,Laboratory
30000010,2,Laboratory,Laboratory
15610,2,Laboratory,Laboratory
09113,2,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
22006251,2,Laboratory,"Laboratory, Preventive Care Services"
J2 185,2,Pharmacy,Drugs Requiring Specific Identification
G0257,2,Procedure,"Preventive Care Services, Others"
63600007,2,Pharmacy,Drugs Requiring Specific Identification
11504758,2,Supply,Implant/Supply
J70S0,2,Diluent / Flush / Irrigant,"Pharmacy, Drugs Requiring Specific Identification"
11512943,2,Supply,Implant/Supply
637000002,2,Pharmacy,Pharmacy
HBZ9995,2,Pharmacy,Drugs Requiring Specific Identification
11504757,2,Supply,Implant/Supply
84681,2,Laboratory,Laboratory
02962,2,Monitoring,Laboratory
01482089,2,Pharmacy,Pharmacy
82 962,2,Monitoring,Laboratory
J 1 644,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
64132,2,Laboratory,Laboratory
J7 06 0,2,Diluent / Flush / Irrigant,Pharmacy
311003,2,Room and Board,Room & Board
03416213,2,Supply,Respiratory Services
64295,2,Laboratory,Laboratory
800554,2,Radiology,Other Imaging Services
J0456,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
01444488,2,Pharmacy,Pharmacy
86592,2,Laboratory,Laboratory
01024996,2,Pharmacy,Laboratory
36140,2,Laboratory,Laboratory
J0131,2,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
01023977,2,Monitoring,Laboratory
25025900,2,Pharmacy,Pharmacy
60070100,2,Laboratory,Laboratory
J3411,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
85810,2,Laboratory,Laboratory
800000006,2,Laboratory,Laboratory
9464076,2,Respiratory Therapy,Respiratory Services
77611,2,Pharmacy,Drugs Requiring Specific Identification
11510275,2,Supply,Implant/Supply
A927C,2,Pharmacy,Pharmacy
01453489,2,"Pharmacy, Laboratory",Pharmacy
33010,2,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
87103,2,Laboratory,Laboratory
J 3010,2,Pharmacy,Drugs Requiring Specific Identification
10002803,2,Pharmacy,Pharmacy
85510,2,Laboratory,Laboratory
A4209,2,Supply,Implant/Supply
11511788,2,Plan Benefit,Implant/Supply
93605,2,Laboratory,Laboratory
89100,2,Laboratory,"Implant/Supply, Laboratory"
