ORIG_DESC	NORM_DESC	CHRG_CLS	FTR1	FTR2	FTR3	FTR4
12671022 - GABAPENTIN CAPSULE 300MG	gabapentin capsule 300_mg	OR / Anesthesia / Recovery Room	capsule	300_mg	gabapentin	
12671032 - GABAPENTIN CAPSULE 400MG	gabapentin capsule 400_mg	OR / Anesthesia / Recovery Room	capsule	400_mg	gabapentin	
12671082 - GABAPENTIN SOLN 50MG/1ML	gabapentin solution 50_mg/1_ml	OR / Anesthesia / Recovery Room	50_mg/1_ml	solution	gabapentin	
12675042 - GENTAMICIN 0.3% 5ML OPTH SOLN	gentamicin 0.3% 5_ml ophth solution	OR / Anesthesia / Recovery Room	solution	5_ml		
12676002 - GI COCKTAIL 30ML	gastrointestinal cocktail 30_ml	OR / Anesthesia / Recovery Room	30_ml	gastrointestinal	cocktail	
12800222 - HALOPERIDOL UP TO 5MG INJ	haloperidol up to 5_mg injection	OR / Anesthesia / Recovery Room	haloperidol	5_mg	injection	
12820482 - HEPARIN PER 1000 UNITS PREMIX	heparin per 1000_units premix	OR / Anesthesia / Recovery Room	heparin	premix	1000_units	per
12820632 - HEPARIN/1000UN (5000/ML)1ML VL	heparin/1000units 5000/ml 1_ml vial	OR / Anesthesia / Recovery Room	vial	5000/ml	1_ml	heparin/1000un
12895032 - HYDROXYZINE PAMOATE 25MG ORAL	hydroxyzine pamoate 25_mg oral	OR / Anesthesia / Recovery Room	pamoate	oral	hydroxyzine	25_mg
12895042 - HYDROXYZINE PAMOATE 50MG ORAL	hydroxyzine pamoate 50_mg oral	OR / Anesthesia / Recovery Room	pamoate	oral	50_mg	hydroxyzine
13111002 - IRON POLYSACCHARIDES CAP 150MG	iron polysaccharides capture 150_mg	OR / Anesthesia / Recovery Room	capture	150_mg	polysaccharides	iron
13250212 - LIDOCAINE 2% TOPICAL JELLY 5ML	lidocaine 2% topical jelly 5_ml	OR / Anesthesia / Recovery Room	5_ml			
13280212 - NOREPINEPHRINE INJ 1MG/ML 4ML	norepinephrine injection 1_mg/ml 4_ml	OR / Anesthesia / Recovery Room	norepinephrine	4_ml	injection	1_mg/ml
13290632 - LIDOCAINE 1% MDV 20ML INJ	lidocaine 1% mdv 20_ml injection	OR / Anesthesia / Recovery Room	injection	20_ml		
13295252 - LIDOCAINE 1% W/EPI 1:100000 30	lidocaine 1% with epinephrine 1:100000	OR / Anesthesia / Recovery Room	epic	1%	lidocaine	
13322042 - ATORVASTATIN 40MG TABLET	atorvastatin 40_mg tablet	OR / Anesthesia / Recovery Room	atorvastatin	tablet	40_mg	
13508002 - MAGNESIUM OXIDE TABLET 400MG	magnesium oxide tablet 400_mg	OR / Anesthesia / Recovery Room	oxide	magnesium	tablet	400_mg
13509012 - MAGNESIUM GLUCONATE TAB 400MG	magnesium gluconate tablet 400_mg	OR / Anesthesia / Recovery Room	400_mg	magnesium	tablet	gluconate
13510222 - MAGNESIUM SULFATE PER 500 MG	magnesium sulfate per 500_mg	OR / Anesthesia / Recovery Room	500_mg	magnesium	per	sulfate
13607082 - METOPROLOL 25MG TABLET	metoprolol 25_mg tablet	OR / Anesthesia / Recovery Room	metoprolol	tablet	25_mg	
13715242 - METHYLPREDNSLNE SS UP TO 125MG	methylprednisolone ss up to 125_mg	OR / Anesthesia / Recovery Room	ss	methylprednisolone	125_mg	
13729012 - METOLAZONE TABLET 2.5MG	metolazone tablet 2.5_mg	OR / Anesthesia / Recovery Room	metolazone	2.5_mg	tablet	
13729022 - METOLAZONE TABLET 5MG	metolazone tablet 5_mg	OR / Anesthesia / Recovery Room	5_mg	metolazone	tablet	
13739242 - MIDAZOLAM HCL PER 1 MG	midazolam hcl per 1_mg	OR / Anesthesia / Recovery Room	1_mg	midazolam	hcl	per
13753012 - MOLASSES 60ML	molasses 60_ml	OR / Anesthesia / Recovery Room	60_ml	molasses		
13802212 - MUPIROCIN 2% OINT 22GM	mupirocin 2% ointment 22_gm	OR / Anesthesia / Recovery Room	mupirocin	ointment	22_gm	2%
13986222 - PHOS-NAK ORAL PACKET	phosphate nak oral packet	OR / Anesthesia / Recovery Room	nak	phosphate	oral	packet
14105002 - OCEAN NASAL 45ML	ocean nasal 45_ml	OR / Anesthesia / Recovery Room	45_ml	nasal	ocean	
14113252 - ONDANSETRON HCL PER 1MG INJ	ondansetron hcl per 1_mg injection	OR / Anesthesia / Recovery Room	1_mg	ondansetron	inj	per
14114062 - ONDANSETRON/1MG (4MG)TAB DSNT	ondansetron/1_mg 4_mg tablet dsnt	OR / Anesthesia / Recovery Room	ondansetron/1_mg	dsnt	tablet	4_mg
14151192 - OXYCODONE HCL TABLET 5MG	oxycodone hcl tablet 5_mg	OR / Anesthesia / Recovery Room	tablet	5_mg	oxycodone	hcl
14152002 - OXYCODONE HCL/ACETAMIN 5/325MG	oxycodone hcl/acetamin 5/325_mg	OR / Anesthesia / Recovery Room	5/325_mg	acetamin	oxycodone	hcl
14269002 - PANTOPRAZOLE SODIUM 40MG	pantoprazole sodium 40_mg	OR / Anesthesia / Recovery Room	pantoprazole	40_mg	sodium	
14269042 - PANTOPRAZOLE/VIAL (40MG)	pantoprazole/vial 40_mg	OR / Anesthesia / Recovery Room	vial	pantoprazole	40_mg	
14375002 - PETROLATUM LACRILUBE EYE 3.5G	petrolatum lacrilube eye 3.5_gm	OR / Anesthesia / Recovery Room	lacrilube	petrolatum	eye	3.5_gm
14512002 - POLYETHYLENE GLYCOL 17GM PWD	polyethylene glucol 17_gm powder	OR / Anesthesia / Recovery Room	polyethylene	17_gm	glucol	powder
14520002 - POLYSTYRENE SUSP 15GM	polystyrene suspension 15_gm	OR / Anesthesia / Recovery Room	15_gm	suspension	polystyrene	
14530572 - POTASSIUM CHLORIDE PER 2 MEQ	potassium chloride per 2_meq	OR / Anesthesia / Recovery Room	2_meq	potassium	chloride	per
14594212 - DEXMEDETOMIDINE 200MCG/2ML INJ	dexmedetomidine 200_mcg/2_ml injection	OR / Anesthesia / Recovery Room	dexmedetomidine	injection	200_mcg/2_ml	
14594232 - DEXMEDETOMIDN 400MCG/100ML INJ	dexmedetomidine 400_mcg/100_ml injection	OR / Anesthesia / Recovery Room	dexmedetomidine	400_mcg/100_ml	injection	
14595062 - PREDNISONE ORAL PER 5MG	prednisone oral per 5_mg	Pharmacy	5_mg	oral	prednisone	per
14595302 - PREDNISONE PER 5MG TAB (10MG)	prednisone per 5_mg tablet 10_mg	OR / Anesthesia / Recovery Room	5_mg	tablet	per	10_mg
14630052 - POTASSIUM CHLORIDE PWD 20MEQ	potassium chloride powder 20_meq	OR / Anesthesia / Recovery Room	potassium	chloride	powder	20_meq
14668262 - PROPOFOL PER 10MG/100ML INJ	propofol per 10_mg/100_ml injection	OR / Anesthesia / Recovery Room	10_mg/100_ml	injection	propofol	per
14755062 - QUETIAPINE FUMARATE TAB 200 MG	quetiapine fumarate tablet 200_mg	OR / Anesthesia / Recovery Room	quetiapine	fumarate	tablet	200_mg
14944142 - SENNA 8.8MG/1ML ORAL SOLN	senna 8.8_mg/1_ml oral solution	OR / Anesthesia / Recovery Room	8.8_mg/1_ml	senna	oral	solution
14954082 - SEVELAMER 0.8GM ORAL PWD	sevelamer 0.8_gm oral powder	OR / Anesthesia / Recovery Room	sevelamer	oral	powder	0.8_gm
14980012 - SODIUM BICARB TAB 650MG	sodium bicarb tablet 650_mg	OR / Anesthesia / Recovery Room	650_mg	bicarb	tablet	sodium
14985722 - SOD CHLORIDE FOR INHALATION 7%	sodium_chloride for inhalation 7%	OR / Anesthesia / Recovery Room	7%	chloride	inhalation	sodium
14FR URETHRAL CATH TRAY	14fr urethral catheter tray	Supply	cath	urethral	tray	14fr
14GA DLP PED AORTIC ROOT CANN.	14ga dlp pediatric aortic root cann	Monitoring	ped			
15 MIN RT TIM	15 minutes respiratory_therapy tim	Respiratory Therapy	rt	min	tim	
1503352 - AGENT HMST 10M	agent hmst 10m	Pharmacy	hmst	agent	10m	
15035012 - SPIRONOLACTONE TABLET 25MG	spironolactone tablet 25_mg	OR / Anesthesia / Recovery Room	spironolactone	tablet	25_mg	
15600362 - VANCMYCN UP TO 500MG 1GM/200ML	vancomycin up to 500_mg 1_gm/200_ml	OR / Anesthesia / Recovery Room	1_gm/200_ml	vancomycin	500_mg	
15600442 - VANCO/500MG (2GM/250ML)	vanco/500_mg 2_gm/250_ml	OR / Anesthesia / Recovery Room	2_gm/250_ml	vanco/500_mg		
15601252 - VANOMYCIN NEBS FOR INH	vancomycin nebulizer for inhalation	OR / Anesthesia / Recovery Room	nebs	inhaled	vancomycin	
15610212 - VASOPRESSIN 20U/ML 1ML	vasopressin 20_units/ml 1_ml	OR / Anesthesia / Recovery Room	20_units/ml	1_ml	vasopressin	
15700002 - WARFARIN SODIUM TABLET 10MG	warfarin sodium tablet 10_mg	OR / Anesthesia / Recovery Room	10_mg	warfarin	tablet	sodium
15700012 - WARFARIN SODIUM TABLET 2.5MG	warfarin sodium tablet 2.5_mg	OR / Anesthesia / Recovery Room	warfarin	2.5_mg	tablet	sodium
15700042 - WARFARIN SODIUM TABLET 7.5MG	warfarin sodium tablet 7.5_mg	OR / Anesthesia / Recovery Room	warfarin	7.5_mg	tablet	sodium
15700232 - WARFARIN 3MG TABLET	warfarin 3_mg tablet	OR / Anesthesia / Recovery Room	warfarin	tablet	3_mg	
15700322 - WARFARIN 8MG (2 X 4MG) TAB	warfarin 8_mg 2 x 4_mg tablet	OR / Anesthesia / Recovery Room	8_mg	warfarin	tablet	4_mg
15735222 - RIVAROXABAN 20MG TABLET	rivaroxaban 20_mg tablet	OR / Anesthesia / Recovery Room	rivaroxaban	20_mg	tablet	
15735252 - RIVAROXABAN 15MG TABLET	rivaroxaban 15_mg tablet	OR / Anesthesia / Recovery Room	rivaroxaban	15_mg	tablet	
15750252 - RIVAROXABAN 10MG TABLET	rivaroxaban 10_mg tablet	OR / Anesthesia / Recovery Room	rivaroxaban	tablet	10_mg	
1951 - SURGICEL HEMOSTA	surgicel hemostatic	Laboratory	hemostatic	surgicel		
19CM SPORT PACK PERM DIALY	19cm sport pack perm dialy	Supply	pack			
2 MEQ/ML IVSL	2_meq/ml ivsl	Pharmacy	2_meq/ml	ivsl		
2 MEQ/ML VIAL	2_meq/ml vial	Pharmacy	2_meq/ml	vial		
2 MG/ML SYRINGE	2_mg/ml syringe	Pharmacy	syringe	2_mg/ml		
2-D ECHO/DOPPLER/COLOR	2 daily echocardiogram/doppler/color	Capital Equipment	color	echocardiogram	doppler	daily
2.7 MM DRILL BIT	2.7 mm drill bit	Supply	mm	bit	2.7	drill
2.7MM METAPHYSEAL SCR SLF-TPNG W/T8 STRDRV RECESS/14MM	2.7mm metaphyseal screen sulf tpng w t8 strdrv recess/14mm	Supply	screen			
2.7MM METAPHYSEAL SCR SLF-TPNG W/T8 STRDRV RECESS/16MM	2.7mm metaphyseal screen sulf tpng w t8 strdrv recess/16mm	Supply	screen			
20 GA ARTERIAL LINE CATHETER	20 gauge arterial line catheter	OR / Anesthesia / Recovery Room	arterial	line	catheter	ga
20 MG/ML SYRINGE	20_mg/ml syringe	Pharmacy	syringe	20_mg/ml		
20000011-ELECTROLYTE-A SOLP	electrolyte a solution	Pharmacy	electrolyte	solution		
20000011-EPHEDRINE 50 MG/ML SOLUTION	ephedrine 50_mg/ml solution	Pharmacy	50_mg/ml	solution	ephedrine	
20000011-GLYCOPYRROLATE 0.2 MG/ML SOLUTION	glycopyrrolate 0.2_mg/ml solution	Pharmacy	0.2_mg/ml	solution	glycopyrrolate	
20000011-KETAMINE 10 MG/ML SOLUTION	ketamine 10_mg/ml solution	Pharmacy	ketamine	solution	10_mg/ml	
20000011-STERILE WATER FOR IRRIGATION SOLUTION	sterile water for irrigation solution	Diluent / Flush / Irrigant	water	irrigation	sterile	solution
20000027-HEPARIN PORCINE (PF) 5 000 UNIT/0.5 ML SYRG	heparin porcine partial_fill 5 000_units/0.5_ml syringe	Diluent / Flush / Irrigant	heparin	partial_fill	syrg	porcine
20000027-LORAZEPAM PER 2 MG	lorazepam per 2_mg	Pharmacy	2_mg	lorazepam	per	
20000031-DIPHENHYDRAMINE PER 50 MG	diphenhydramine per 50_mg	Pharmacy	diphenhydramine	50_mg	per	
20000031-FENTANYL CITRATE PER 0.1 MG	fentanyl citrate per 0.1_mg	Pharmacy	fentanyl	0.1_mg	citrate	per
20000031-FUROSEMIDE PER 20 MG	furosemide per 20_mg	Pharmacy	furosemide	20_mg	per	
20000031-HYDROMORPHONE 0.4 MG/ML	hydromorphone 0.4_mg/ml	Pharmacy	hydromorphone	0.4_mg/ml		
20000031-LORAZEPAM 2 MG/ML SYRG	lorazepam 2_mg/ml syringe	Pharmacy	syrg	lorazepam	2_mg/ml	
20000031-NEOSTIGMINE 1 MG/ML SOLUTION	neostigmine 1_mg/ml solution	Pharmacy	neostigmine	solution	1_mg/ml	
20000031-ONDANSETRON PER 1 MG	ondansetron per 1_mg	Pharmacy	1_mg	ondansetron	per	
20000031-PANTOPRAZOLE 40 MG SOLR	pantoprazole 40_mg solution	Pharmacy	pantoprazole	40_mg	solution	
20000031-PHENYLEPHRINE 120 MCG/ML	phenylephrine 120 mcg/ml	Pharmacy	mcg	ml	phenylephrine	
20000031-PIPERACILLIN SOD-TAZOBACTAM PER 1.125 G	piperacillin sodium tazobactam per 1.125 gram	Pharmacy	gram	per	tazobactam	sodium
20000031-VANCOMYCIN 1 GRAM/200 ML PGBK	vancomycin 1 gram/200_ml pgbk	Pharmacy	gram/200_ml	pgbk	vancomycin	
20000039-ALPRAZOLAM 0.5 MG TAB	alprazolam 0.5_mg tablet	Pharmacy	0.5_mg	alprazolam	tab	
20000039-DIPHENHYDRAMINE 25 MG CAP	diphenhydramine 25_mg capillary	Pharmacy	diphenhydramine	capillary	25_mg	
20000039-HYDROCODONE-ACETAMINOPHEN 5-325 MG TAB	hydrocodone acetaminophen 5 325_mg tablet	Pharmacy	hydrocodone	325_mg	tab	acetaminophen
20000039-HYDROCODONE-ACETAMINOPHEN 7.5-325 MG/15 ML SOLUTION	hydrocodone acetaminophen 7.5 325_mg/15_ml solution	Pharmacy	solution	acetaminophen		
20000039-LORAZEPAM 0.5 MG TAB	lorazepam 0.5_mg tablet	Pharmacy	0.5_mg	lorazepam	tab	
20000039-LORAZEPAM 1 MG TAB	lorazepam 1_mg tablet	Pharmacy	1_mg	lorazepam	tab	
20000039-MULTIVITAMIN LIQD	multivitamin liquid	Pharmacy	liqd	multivitamin		
20000039-PANTOPRAZOLE 40 MG TBEC	pantoprazole 40_mg tablet_enteric_coated	Pharmacy	tbec	pantoprazole	40_mg	
20000039-PAROXETINE 20 MG TAB	paroxetine 20_mg tablet	Pharmacy	paroxetine	20_mg	tab	
20000039-PEG-ELECTROLYTE 240-22.72-6.72 GRAM SOLR	peg electrolyte 240 22.72 6.72 gram solution	Pharmacy	gram	solution		
20000039-RISPERIDONE 1 MG/ML SOLUTION	risperidone 1_mg/ml solution	Pharmacy	risperidone	solution	1_mg/ml	
20000039-SIMVASTATIN 20 MG TAB	simvastatin 20_mg tablet	Pharmacy	simvastatin	20_mg	tab	
20000039-SIMVASTATIN 40 MG TAB	simvastatin 40_mg tablet	Pharmacy	simvastatin	tab	40_mg	
20000039-TRAZODONE 100 MG TAB	trazodone 100_mg tablet	Pharmacy	100_mg	tab	trazodone	
20071	20071	Supply				
20221	20221	Laboratory				
20MG/1ML SOLN	20_mg/1_ml solution	Pharmacy	20_mg/1_ml	soln		
214.866 - SCREW BONE 4.5	screw bone 4.5	Supply	4.5	screw	bone	
220A	220a	Laboratory	220a			
242 BIOTINIDASE STATE-SO+	242 biotinidase state so and	Laboratory	biotinidase	state		
242 CAH STATE-SO+	242 cah state so and	Laboratory	state	cah		
242 GALACTOSEMIA STATE-SO+	242 galactosemia state so and	Laboratory	galactosemia	state		
242 TSH STATE-SO+	242 thyroid-stimulating_hormone state so and	Laboratory	state	tsh		
27054009 - FLUORO GDE CVAD ACCESS/REM	fluroscopy guide cvad access/ream	OR / Anesthesia / Recovery Room	fluroscopy	access	cvad	gde
27054010 - US GUIDED VASCULAR ACCESS	ultrasound guided vascular access	OR / Anesthesia / Recovery Room	access	guided	27054010_us	vascular
27102000 - XR CHEST 2 VWS PA LATERAL	x-ray chest 2 views posterior_anterior lateral	OR / Anesthesia / Recovery Room	chest			
27400000 - XR ABDOMEN 1 AP VW	x-ray abdomen 1 anterior_posterior view	OR / Anesthesia / Recovery Room	anterior_posterior	abdomen	x-ray	view
27400001 - XR ABDOMEN 1 AP VW PORT	x-ray abdomen 1 anterior_posterior view portable	OR / Anesthesia / Recovery Room	anterior_posterior	portable	abdomen	view
27907926 - INS CVC TUN W/O PORT/PUMP >5	insert central_venous_catheter tun without portable/pump greater_than 5	OR / Anesthesia / Recovery Room	greater_than	insert	pump	without
27939750 - ULTRASD ABDOMEN VENOUS/ARTERL	ultrasound abdomen venous/arterial	OR / Anesthesia / Recovery Room	27939750_ultrasd	venous	abdomen	arterial
282400 - DRSG 9.2X9.2IN ABS SLF	dressing 9.2x9.2 inches abs sulf	Supply	inches	drsg		
294.785 - SCREW BONE 5MM	screw bone 5mm	Supply	5mm	screw	bone	
294.786 - SCREW BONE 5MM	screw bone 5mm	Supply	5mm	screw	bone	
2B1302 NS 100CC	2b1302 normal_saline 100_cc	Diluent / Flush / Irrigant	2b1302	100_cc	ns	
2B1322 NS 250 CC IV	2b1322 normal_saline 250 cubic_centimeters intravenous	Diluent / Flush / Irrigant	cc	iv	2b1322	ns
2B1323 NS 500 CC IV	2b1323 normal_saline 500 cubic_centimeters intravenous	Diluent / Flush / Irrigant	iv	ns	cc	2b1323
2B2324 LR 1000 CC IV	2b2324 leukocyte_reduced 1000 cubic_centimeters intravenous	Pharmacy	2b2324	lr	iv	cc
2D CONGENITAL WO CONT	2 congenital without control	Radiology	congenital	control	without	
2D ECHO DOPPLER COMPLETE	2 echocardiogram doppler complete	Capital Equipment	echocardiogram	doppler	complete	
2D ECHO DOPPLER COMPLETE W CON	2 echocardiogram doppler complete with conc	Capital Equipment	echocardiogram	doppler	conc	complete
2D ECHO M MODE W SPCT	2 echocardiogram m mode with spect	Capital Equipment	echocardiogram	mode	spect	
2D ECHO W/DOPPLER + COLOR FW	2D echocardiogram with doppler and color flow	OR / Anesthesia / Recovery Room	color	echocardiogram	doppler	fw
2MM VESSEL CANNULA	2mm vessel cannula	Supply	vessel	cannula	2mm	
3-0 VICRYL RB-1 CR	3 0 vicryl room_and_board 1 chest_radiograft	Supply	room_and_board	vicryl	cr	
30061	30061	Laboratory				
30191	30191	Laboratory				
31500 INTUBAT	31500 intubation	Respiratory Therapy	intubation			
324.213 - BIT DRILL 300M	bit drill 300m	Supply	300m	bit	drill	
32515	32515	Laboratory				
12481222 - FENTANYL CITRATE 0.1MG INJ	fentanyl citrate 0.1_mg injection	OR / Anesthesia / Recovery Room	injection	fentanyl	0.1_mg	citrate
12563192 - FLUTICASONE 0.05% NASAL 16GM	fluticasone 0.05% nasal 16_gm	OR / Anesthesia / Recovery Room	fluticasone	0.05%	nasal	16_gm
12590032 - FUROSEMIDE TABLET 40MG	furosemide tablet 40_mg	OR / Anesthesia / Recovery Room	furosemide	40_mg	tablet	
12590192 - FUROSEMIDE PER 20MG INJ	furosemide per 20_mg injection	OR / Anesthesia / Recovery Room	injection	furosemide	20_mg	per
12590212 - FUROSEMIDE UP TO 20 MG INJ	furosemide up to 20_mg injection	Pharmacy	inj	furosemide	20_mg	
12590222 - FUROSEMIDE UP TO 20 MG INJ	furosemide up to 20_mg injection	Pharmacy	inj	furosemide	20_mg	
12737012 - GUAIFENESIN 600MG TABLET	guaifenesin 600_mg tablet	OR / Anesthesia / Recovery Room	guaifenesin	tablet	600_mg	
12737042 - GUAIFENESIN DM 10ML	guaifenesin demo 10_ml	OR / Anesthesia / Recovery Room	demo	guaifenesin	10_ml	
12737152 - DXTMPHAN-GUIFENSIN 30/600MG TB	dxtmphan-guaifenesin 30/600_mg tab	OR / Anesthesia / Recovery Room	30/600_mg	tube	guaifenesin	dxtmphan
12820582 - HEPARIN SODIUM PER 1000 UNITS	heparin sodium per 1000_units	OR / Anesthesia / Recovery Room	heparin	1000_units	per	sodium
12820652 - HEPARIN SODIUM PER 1000 UNITS	heparin sodium per 1000_units	OR / Anesthesia / Recovery Room	heparin	1000_units	per	sodium
12858252 - HYDROCODONE/ACETAMIN 5/325 TAB	hydrocodone/acetamin 5/325 tablet	OR / Anesthesia / Recovery Room	5/325	hydrocodone	acetamin	tablet
12882012 - HYDROPHOR OINTMENT 454GM	hydrophor ointment 454_gm	OR / Anesthesia / Recovery Room	hydrophor	454_gm	ointment	
13080472 - INSLIN LISPRO (HUMLOG) PER 5 U	insulin lispro humalog per 5_units	OR / Anesthesia / Recovery Room	5_units	lispro	insulin	per
13255012 - LACTINEX-ACIDOPHILUS	lactinex acidophilus	OR / Anesthesia / Recovery Room	acidophilus	lactinex		
13256042 - LACTULOSE 20GM/30ML	lactulose 20_gm/30_ml	OR / Anesthesia / Recovery Room	20_gm/30_ml	lactulose		
13284022 - LEVOFLOXACIN TABLET 500MG	levofloxacin tablet 500_mg	OR / Anesthesia / Recovery Room	500_mg	tablet	levofloxacin	
13294212 - LEVOFLOXACIN 750MG TAB	levofloxacin 750_mg tablet	OR / Anesthesia / Recovery Room	750_mg	tablet	levofloxacin	
13301222 - LINEZOLID PER 200MG INJ	linezolid per 200_mg injection	OR / Anesthesia / Recovery Room	inj	linezolid	per	200_mg
13510592 - MGSO4 PER 500MG (100ML)	13510592_mag si;fate per 500_mg 100_ml	OR / Anesthesia / Recovery Room	100_ml	13510592_mgso4	500_mg	per
13607012 - METOPROLOL TAB 50MG	metoprolol tablet 50_mg	OR / Anesthesia / Recovery Room	metoprolol	50_mg	tablet	
13690412 - NATURAL TEARS LUBRICANT 15ML	natural tears lubricant 15_ml	OR / Anesthesia / Recovery Room	lubricant	tears	natural	15_ml
13729002 - METOLAZONE TABLET 10MG	metolazone tablet 10_mg	OR / Anesthesia / Recovery Room	metolazone	tablet	10_mg	
13730462 - MICAFUNGIN SODIUM/1MG (100MG)	micafungin units/1_mg 100_mg	OR / Anesthesia / Recovery Room	100_mg	micafungin	units/1_mg	
13730572 - METRONIDAZOLE/NSS PREMIX 500MG	metronidazole/normal_saline_sterile premix 500_mg	OR / Anesthesia / Recovery Room	metronidazole	premix	500_mg	normal_saline_sterile
13735212 - MIDAZOLAM PER 1MG INJ	midazolam per 1_mg injection	OR / Anesthesia / Recovery Room	1_mg	injection	midazolam	per
13739222 - MIDAZOLAM HCL PER 1 MG	midazolam hcl per 1_mg	OR / Anesthesia / Recovery Room	1_mg	midazolam	hcl	per
13754012 - MONTELUKAST SODIUM TABLET 10MG	montelukast sodium tablet 10_mg	OR / Anesthesia / Recovery Room	montelukast	10_mg	tablet	sodium
13755224 - MORPHINE 2MG-4MG INJ VARIABLE	morphine 2_mg 4_mg injection variable	OR / Anesthesia / Recovery Room	2_mg	injection	morphine	4_mg
13945262 - ESOMEPRAZOLE 40MG PWD PKT ORAL	esomeprazole 40_mg powder packet oral	OR / Anesthesia / Recovery Room	packet	oral	powder	40_mg
13995092 - NICOTINE PATCH 21MG	nicotine patch 21_mg	OR / Anesthesia / Recovery Room	21_mg	nicotine	patch	
14 FRENCH SALEM SUMP TUBE	14 french salem sump tube	Supply	tube	salem	french	sump
14151132 - OXYCODONE SA TAB 10MG	oxycodone slow_action tablet 10_mg	OR / Anesthesia / Recovery Room	10_mg	oxycodone	tablet	slow_action
14151142 - OXYCODONE SA TAB 20MG	oxycodone slow_action tablet 20_mg	OR / Anesthesia / Recovery Room	20_mg	oxycodone	tablet	slow_action
14151172 - OXYCODONE HCL 1MG/ML 5ML	oxycodone hcl 1_mg/ml 5_ml	OR / Anesthesia / Recovery Room	5_ml	oxycodone	hcl	1_mg/ml
14152102 - OXYCODONE HCL/ACETAMIN 10/325	oxycodone hcl/acetamin 10/325	OR / Anesthesia / Recovery Room	10/325	acetamin	oxycodone	hcl
14351002 - PEPPERMINT OIL 30ML	peppermint oil 30_ml	OR / Anesthesia / Recovery Room	30_ml	oil	peppermint	
14382113 - PHARM THERAPEUTIC DRUG MONITOR	pharmacy therapeutic drug monitoring	OR / Anesthesia / Recovery Room	therapeutic	monitoring	drug	pharmacy
14382119 - PHARM ANTICOAG COMP CONSULT	pharmacist anticoagulation computer consultation	OR / Anesthesia / Recovery Room	anticoagulant	consult	compressors	pharmacy
14382121 - PHARMACY TDM COMP CONSULT	pharmacy tdm compounding consult	OR / Anesthesia / Recovery Room	compressors	consult	tdm	pharmacy
14455262 - PHENYLEPHRN->1ML (.1MG/ML-10ML	phenylephrine greater_than 1_ml 0.1_mg/ml 10_ml	OR / Anesthesia / Recovery Room	greater_than	phenylephrine	1_ml	10_ml
14530592 - POTASSIUM CHLORIDE PER 2 MEQ	potassium chloride per 2_meq	OR / Anesthesia / Recovery Room	2_meq	potassium	chloride	per
14542272 - POTASSIUM CHL 20 MEQ ER	potassium chloride 20_meq emergency_room	OR / Anesthesia / Recovery Room	emergency_room	potassium	chloride	20_meq
14595322 - PREDNISONE PER 5MG TAB(20MG)	prednisone per 5_mg tablet 20_mg	OR / Anesthesia / Recovery Room	20_mg	5_mg	tablet	per
14630002 - POTASSIUM CHLOR TAB SA 10MEQ	potassium chloride tablet slow_action 10_meq	OR / Anesthesia / Recovery Room	potassium	chloride	tablet	
14630032 - POTASSIUM CHLORIDE 20MEQ/15ML	potassium chloride 20_meq/15_ml	OR / Anesthesia / Recovery Room	potassium	20_meq/15_ml	chloride	
36555 PICC IN	peripherally_inserted_central_catheter inhibition	Supply	inhibition	picc		
36600 ABG DRA	arterial_blood_gas draw	Nursing Services	draw	abg		
36870 CLOT RE	clot re	Laboratory	clot			
37213 ARTCATH	37213 artcath	Laboratory	artcath			
390.009 - CLAMP EXFIX LG	clamp exfix large	Supply	clamp	large	exfix	
