descrip,# of descs,# of rev code grps,# of charge classes,Unique charge classes,Unique rev codes grps
LACATED RINGERS PER 1000 ML,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Organ Acquisition, Pharmacy"
DOCUSATE SODIUM 100 MG CAPSULE,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
SODIUM CHLORIDE 0.9% QS BASE,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Outpatient or Home, Pharmacy"
GLYCERIN CHILD,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
DAILY BED & SERVICE,3,3,1,Room and Board,"Coronary Care, Intensive Care, Room & Board"
HEPATIC FUNCTION PANEL,3,3,1,Laboratory,"Implant/Supply, Laboratory, Other Imaging Services"
PROPOFOL 10MG INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, Preventive Care Services"
HIGH FLOW NASAL CANNULA,3,3,1,Supply,"Implant/Supply, Pulmonary Function, Respiratory Services"
TCM MONITORING PER DAY,3,3,1,Monitoring,"Cardiology, Laboratory, Respiratory Services"
ASPIRIN 81 MG CHEW TAB,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, MRI, Pharmacy"
NITRIC OXIDE PER HR,3,3,1,Plan Benefit,"Drugs Requiring Specific Identification, Implant/Supply, Respiratory Services"
LEVETIRACETAM 100 MG/ML SOLN,3,3,1,Pharmacy,"CT Scan, Drugs Requiring Specific Identification, Pharmacy"
SODIUM,3,3,1,Laboratory,"Laboratory, Others, Pharmacy"
FLUDROCORTISONE 0.1 MG TAB,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
NS 250 ML,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, PT/OT/Speech, Pharmacy"
RIFAXIMIN 550 MG TAB,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
SODIUM CHLORIDE 0.9 % IV SOLP,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Laboratory, Pharmacy"
CALCIUM,3,3,1,Laboratory,"Laboratory, Others, Pharmacy"
PULSE OXIMETRY/DAILY,3,3,1,Monitoring,"Implant/Supply, Pulmonary Function, Respiratory Services"
CEFAZOLIN 100MG/ML INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
SUCTIONING,3,3,1,Respiratory Therapy,"Implant/Supply, Others, Respiratory Services"
IV PUSH SAME DRUG >30 MIN,3,3,1,Nursing Services,"IV Therapy, Other Diagnostic Services, Other Therapeutic Services"
SODIUM BICARBONATE 650 MG TABS,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
MIDAZOLAM 2 MG/2 ML INJECTION,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, EKG/ECG/EEG, Pharmacy"
BMP TOTAL CALCIUM,3,3,1,Laboratory,"EKG/ECG/EEG, Implant/Supply, Laboratory"
SODIUM CHLORIDE 0.9 % SOLP,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
NACL 0.9% 100ML,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
INO PER HR,3,3,1,Plan Benefit,"Implant/Supply, Pharmacy, Respiratory Services"
SODIUM CHLORIDE 4 MEQ/ML SOLN 30 ML VIAL,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
OT EVALUATION,3,3,1,PT / OT / Speech Therapy,"PT/OT/Speech, Preventive Care Services, Room & Board"
SODIUM BICARBONATE 1 MEQ/ML SOLN,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Organ Acquisition, Pharmacy"
CAFFEINE CITRATE 20 MG/ML SOLN 3 ML VIAL,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
LIDOCAINE 100 MG/5 ML SYRINGE,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, EKG/ECG/EEG, Pharmacy"
VASOPRESSIN 20 UNIT/ML SOLN 1 ML VIAL,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, Radiology"
MAG SULFATE 2G BAG,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, PT/OT/Speech, Pharmacy"
OXYGEN,3,3,1,Respiratory Therapy,"Implant/Supply, Patient Conv Items, Respiratory Services"
FENTANYL 50MCG/ML 5ML,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Osteopathic Services, Pharmacy"
MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML PGBK,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
FENTANYL CITRATE PER 0.1 MG,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Organ Acquisition, Pharmacy"
ARTERIAL PUNCTURE (ABG),3,3,1,Nursing Services,"Laboratory, OR Services, Respiratory Services"
OXYGEN PER DAY,3,3,1,Respiratory Therapy,"Implant/Supply, Pharmacy, Respiratory Services"
DIPHENHYDRAMINE 50 MG/ML SOLN,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
POTASSIUM CHLORIDE 2 MEQ INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Outpatient or Home, Pharmacy"
PHENYLEPHRINE 10 MG/ML SOLN 1 ML VIAL,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, Radiology"
D5W 250ML,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
VANCOMYCIN 500MG INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, Preventive Care Services"
ATORVASTATIN 80 MG TAB 90 EACH BOTTLE,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
TROPONIN QUANT,3,3,1,Laboratory,"EKG/ECG/EEG, Implant/Supply, Laboratory"
MILRINONE 1 MG/ML SOLN 10 ML VIAL,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, Radiology"
GLYCERIN SUPP INFANT,3,3,1,Supply,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
FUROSEMIDE 10 MG/ML SOLN 10 ML VIAL,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, Radiology"
MAGNESIUM HYDROXIDE 400 MG/5ML SUSP,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
CEFAZOLIN SODIUM 500 MG INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Osteopathic Services, Pharmacy"
HB HYDROMORPHONE 2MG/ML SYRINGE,3,3,1,Pharmacy,"CT Scan, Drugs Requiring Specific Identification, Pharmacy"
METOPROLOL TARTRATE 25 MG TABLET,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
TROPONIN I,3,3,1,Laboratory,"Laboratory, PT/OT/Speech, Pharmacy"
HYDROMORPHONE 1 MG/ML SOLN,3,3,1,Pharmacy,"Anesthesia, Drugs Requiring Specific Identification, Pharmacy"
IOPAMIDOL PER 1 ML,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, Radiology"
PROPOFOL 200MG/20ML INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, EKG/ECG/EEG, Pharmacy"
METOPROLOL TARTRATE 50 MG TABLET,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
POLYETHYLENE GLYCOL PACK,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
OXYGEN HOURS,3,3,1,Respiratory Therapy,"Implant/Supply, Pharmacy, Respiratory Services"
MORPHINE 2 MG INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, PT/OT/Speech, Pharmacy"
HYDROCODONE-ACETAMINOPHEN 5-325 MG TABS,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
DEXTROSE 5%,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
DEXAMETHASONE 20MG/5ML INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, EKG/ECG/EEG, Pharmacy"
PHOTOTHERAPY,3,3,1,Supply,"Implant/Supply, Other Therapeutic Services, Treatment/Observation Room"
HYDROCORTISONE SODIUM SUCCINATE 100 MG SOLR,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Osteopathic Services, Pharmacy"
SODIUM CHLORIDE 4 MEQ/ML SOLP,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
LEVOFLOXACIN 750 MG TAB,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
CAFFEINE CITRATE 20 MG/ML SOLN,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
TRAZODONE 50 MG TAB,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
ELECTROLYTE PANEL,3,3,1,Laboratory,"Laboratory, Pharmacy, Preventive Care Services"
ROCURONIUM 10 MG/ML SOLN 5 ML VIAL,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, Radiology"
KETAMINE 100 MG/ML SOLN 5 ML VIAL,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, Radiology"
METERED DOSE INHALER,3,3,1,Respiratory Therapy,"Implant/Supply, Pulmonary Function, Respiratory Services"
DEXTROSE 5% 50ML,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy, Preventive Care Services"
HEPARIN 5000 UNIT/ML SOLN,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
XR CHEST 1 V,3,3,1,Radiology,"Cast/Recovery/Labor Room, Laboratory, Radiology"
ROXICODONE 5MG TABLET,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Emergency Room, Pharmacy"
NACL 0.9% 250ML,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
OXYCODONE-ACETAMINOPHEN 5-325 MG TABLET,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
MIDAZOLAM 5MG/5ML INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, EKG/ECG/EEG, Pharmacy"
NACL 0.9% INJ 250ML,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, EKG/ECG/EEG, Pharmacy"
SUCTION ARTIFICIAL AIRWAY,3,3,1,Supply,"Patient Conv Items, Pulmonary Function, Respiratory Services"
TRANSFUSION,3,3,1,Nursing Services,"Blood, Laboratory, Patient Conv Items"
SODIUM CHLORIDE PER 500 ML,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
AIRWAY CARE,3,3,1,Respiratory Therapy,"Emergency Room, Pulmonary Function, Respiratory Services"
AEROSOL EVALUATION,3,3,1,Respiratory Therapy,"Emergency Room, Pulmonary Function, Respiratory Services"
MEASURE BLOOD OXYGEN LVL SNGL,3,3,1,Monitoring,"Drugs Requiring Specific Identification, Pulmonary Function, Respiratory Services"
EPINEPHRINE 1 MG/ML SOLN,3,3,1,Pharmacy,"Anesthesia, Drugs Requiring Specific Identification, Pharmacy"
OXYGEN PER HR,3,3,1,Respiratory Therapy,"Implant/Supply, Pharmacy, Respiratory Services"
SODIUM CHLORIDE 0.9% 50ML,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Laboratory, Pharmacy"
HEPARIN LOCK FLUSH 100 UNIT/ML SOLN 5 ML SYRINGE,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
CAFFEINE CITRATE 60 MG/3 ML (20 MG/ML) SOLN 3 ML VIAL,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
PACK CELL SAVER # ATL,3,3,1,Supply,"Blood, Implant/Supply, OR Services"
HB FENTANYL 50ML INJ 0.05MG/ML,3,3,1,Pharmacy,"CT Scan, Drugs Requiring Specific Identification, Pharmacy"
URSODIOL 60 MG/ML SUSP,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
LISINOPRIL 5MG TAB,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, PT/OT/Speech, Pharmacy"
ENOXAPARIN SODIUM 40 MG/0.4ML SOLN,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Outpatient or Home, Pharmacy"
GLYCOPYRROLATE 0.2 MG/ML SOLN,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Organ Acquisition, Pharmacy"
HB SODIUM CHLORIDE 0.9% IV,3,3,1,Diluent / Flush / Irrigant,"CT Scan, Drugs Requiring Specific Identification, Pharmacy"
CHLORHEXIDINE 0.12% SOLN,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
HB FUROSEMIDE/LASIX 20MG TAB UD,3,3,1,Pharmacy,"CT Scan, Nursing, Pharmacy"
HEPARIN FLUSH 10 UNITS/M,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, OR Services, Pharmacy"
CLOPIDOGREL 75 MG TABLET,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
SODIUM CHLORIDE 0.9 % SOLP 250 ML BAG,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
HYDROMORPHONE UP TO 4 MG INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Outpatient or Home, Pharmacy"
SODIUM CHLORID,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
LIDOCAINE 2 % SOLN,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Organ Acquisition, Pharmacy"
POLYETHYLENE GLYCOL 17 GRAM PWPK,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
CULTURE BLOOD,3,3,1,Laboratory,"EKG/ECG/EEG, Laboratory, Preventive Care Services"
GLYCOPYRROLATE 1 MG/5 ML,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Osteopathic Services, Pharmacy"
SOL STER WATER IRR 1L BTL C,3,3,1,Diluent / flush / Irrigant,"IV Therapy, Implant/Supply, Pharmacy"
HC HEMATOCRIT,3,3,1,Laboratory,"Laboratory, Organ Acquisition, Outpatient Services"
MORPHINE 2 MG/ML SYRG,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
MORPHINE 2 MG/ML SOLN,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Outpatient or Home, Pharmacy"
LIDOCAINE 1% 20 ML INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, PT/OT/Speech, Pharmacy"
HC HEMOGLOBIN,3,3,1,Laboratory,"Laboratory, Organ Acquisition, Radiology"
PHOSPHORUS BLD,3,3,1,Laboratory,"EKG/ECG/EEG, Implant/Supply, Laboratory"
OXYCODONE 5MG TAB,3,3,1,Pharmacy,"CT Scan, Drugs Requiring Specific Identification, Pharmacy"
CHEST SINGLE VIEW,3,3,1,Radiology,"Laboratory, Nursing, Radiology"
VANCOMYCIN 1GM/10ML INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, EKG/ECG/EEG, Pharmacy"
ONDANSETRON 4 MG TABS,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
SODIUM CHLORIDE 0.9% 100 ML BA,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Laboratory, Pharmacy"
BILIRUBIN DIRECT,3,3,1,Laboratory,"EKG/ECG/EEG, Laboratory, Pharmacy"
ANESTHESIA,3,3,1,OR / Anesthesia / Recovery Room,"Anesthesia, Implant/Supply, Pharmacy"
TTE W/DOPPLER COMPLETE,3,3,1,Cardiology,"Cardiology, PT/OT/Speech, Prof Fees"
SODIUM CHLORIDE 0.9 % SOLN 100 ML FLEX CONT,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
OMEPRAZOLE 40 MG CPDR,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
VENT MGMT INPAT SUBQ DAY,3,3,1,Respiratory Therapy,"Anesthesia, PT/OT/Speech, Respiratory Services"
MIDAZOLAM 2MG/2ML VIAL,3,3,1,Pharmacy,"Cardiology, Drugs Requiring Specific Identification, Pharmacy"
HB GLUCOSE BLD QUANT,2,2,1,Laboratory,"Laboratory, Pharmacy"
ACETAMINOPHEN 120 MG SUPP,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
SEVELAMER CARBONATE 800 MG,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
SODIUM CHLORIDE 4 MEQ/ML SOLP 100 ML VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ONDANSETRON 1 MG INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
AIRWAY KIT,2,2,1,Supply,"Coronary Care, Implant/Supply"
SENNA 8.8 MG/5 ML ORAL S,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
GAIT TRAINING 15 MIN PT,2,2,1,PT / OT / Speech Therapy,"PT/OT/Speech, Pharmacy"
SUCCINYLCHOLINE 200MG/10ML INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PULSE OXIMETRY CONT,2,2,1,Monitoring,"Pulmonary Function, Respiratory Services"
ANESTHESIA LEVEL 3,2,2,1,OR / Anesthesia / Recovery Room,"Anesthesia, Implant/Supply"
GABAPENTIN 300MG CAP; GABAPENTIN 300 MG CAP,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ERTAPENEM 1 GM INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
TOBRAMYCIN 80MG/2ML INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HB OXYGEN DAILY,2,2,1,Respiratory Therapy,"Implant/Supply, Respiratory Services"
HC THER PROPH/DX NJX EA SEQL IV PUSH SBST/DRUG FAC,2,2,1,Nursing Services,"Emergency Room, IV Therapy"
POOLING BLOOD PRODUCTS,2,2,1,Blood Products,"Blood, Laboratory"
ISOVUE 370 PER ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CBC W AUTO DIFF,2,2,1,Laboratory,"Intensive Care, Laboratory"
LIDOCAINE (CARDIAC) 100 MG/5ML 20 MG/ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HC BLOOD TYPING ABO,2,2,1,Laboratory,"Laboratory, Organ Acquisition"
FAMOTIDINE 20MG TAB U/D,2,2,1,Pharmacy,"IV Therapy, Pharmacy"
LIDOCAINE 1 % SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HB ZOFRAN 4MG/2ML IV SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
BACITRACIN 500 UNIT/GRAM OINT 14 G TUBE,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
AMIKACIN SULFATE 500 MG/2ML IJ SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
FUROSEMIDE UP TO 20 MG,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HB ENOXAPARIN SODIUM 300 MG/3ML IJ SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HB ROOM RATE,2,2,1,Room and Board,"Coronary Care, Room & Board"
TRACH SUC SYS 10FR,2,2,1,Supply,"Implant/Supply, Respiratory Services"
DEXTROSE 5 % SOLN,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
NEOSTIGMINE 5MG/ML INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, EKG/ECG/EEG"
HB PROMETHAZINE HCL 25MG/ML INJ 1,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HB NITRIC OXIDE PER HALF HOUR,2,2,1,Plan Benefit,"Pharmacy, Respiratory Services"
CO2 MONITOR (D,2,2,1,Monitoring,"Pulmonary Function, Respiratory Services"
RH BLOOD TYPE,2,2,1,Laboratory,"Blood, Laboratory"
ACETAMINOPHEN 325MG SUPP,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
MAGNESIUM LEVEL,2,2,1,Laboratory,"Laboratory, Other Imaging Services"
GLYCERIN PEDIATRIC 1.2 G SUPP,2,2,1,Supply,"Drugs Requiring Specific Identification, Pharmacy"
CALCIUM CARBONATE CHEWABLE,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ALBUTEROL 2.5 MG/0.5 ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HB CRRT,2,2,1,Procedure,"Others, Preventive Care Services"
YEAST ID,2,2,1,Laboratory,"EKG/ECG/EEG, Laboratory"
CEFAZOLIN 500 MG INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
SODIUM CHLORIDE 0.9% SOL,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
METHYLPREDNISOLONE 125MG INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
DEXTROSE 5% SOLN 50 ML FLEX CONT,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
DARBEPOETIN ALFA 100 MCG/0.5ML SOSY,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CROSSMATCH IMMEDIATE SPIN,2,2,1,Laboratory,"Blood, Laboratory"
LACTULOSE 10 GM/15ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PREGABALIN 75MG CAP,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CALCIUM GLUCONATE 100 MG/M,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PIPERACILLIN-TAZOBACTAM 40,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PIPERACILLIN-TAZOBACTAM 4.,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PANTOPRAZOLE 4 MG/ML SOLR 1 EACH VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HC ANTIBODY SCREEN RBC EA SERUM,2,2,1,Laboratory,"Laboratory, Organ Acquisition"
D5W 50ML IVF,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
AMIODARONE 200MG TAB,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
TUBING ENTERAL FEEDING,2,2,1,Supply,"Implant/Supply, Pharmacy"
IONIZED CALCIUM,2,2,1,Laboratory,"Hospice Services, Laboratory"
NEOSTIGMINE 10 MG/10ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
SUCRALFATE 1 GRAM TAB,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HC BLOOD TYPING RH(D),2,2,1,Laboratory,"Laboratory, Organ Acquisition"
INSULIN REG HUM 5U- 00U/ML UNI,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
MICAFUNGIN 50 MG SOLR 1 EACH VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
IBUPROFEN 100 MG/5 ML SUSP,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
OXYGEN THERAPY,2,2,1,Respiratory Therapy,"Implant/Supply, Respiratory Services"
ACETAMINOPHEN 500 MG TAB,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
SPIROMETER INCENTIVE,2,2,1,Supply,"Implant/Supply, Respiratory Services"
FIBRINOGEN ACTIVITY,2,2,1,Laboratory,"Emergency Room, Laboratory"
HEPARIN 50 UNITS/5 ML LO,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
RESUSCITATION BAG,2,2,1,Supply,"Implant/Supply, Respiratory Services"
PROPOFOL 1000 MG INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
SPECIMEN TRAP,2,2,1,Supply,"Implant/Supply, Pharmacy"
ROCURONIUM 100 MG/10ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HC TELEMETRY MONITOR DAY,2,2,1,Monitoring,"EKG/ECG/EEG, Implant/Supply"
AMPICILLIN-SULBACTAM 3 GRAM SOLR 1 EACH VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
OXYGEN PER SHIFT,2,2,1,Respiratory Therapy,"Implant/Supply, Respiratory Services"
SPIRONOLACTONE 5 MG/ML SUS,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
IRON SUCROSE 20 MG/ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
2D ECHO W/DOPPLER + COLOR FW,2,2,1,Radiology,"Cardiology, Pulmonary Function"
HB SODIUM BLOOD,2,2,1,Laboratory,"Laboratory, Pharmacy"
PRAVASTATIN 20 MG TABS,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
TROPHAMINE 10 % SOLN 500 ML GLASS CONT,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
