Original Description,Normalized Description,Charge Class,Flag,Feature 1,Feature 2,Feature 3,Feature 4
INJ IV SOLN PIGGY BACK; SOD CHLORIDE,injection intravenous solution piggy back sodium chloride,Diluent / Flush / Irrigant,RETROSPECTIVE,sodium,back,solution,piggy
IV D5W 250ML,intravenous dextrose_5%_in_water 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,250_ml,intravenous,D5W,
IV NACL 0.9% 100ML,intravenous sodium_chloride 0.9% 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,100_ml,intravenous,NaCl
IV NS 100ML,intravenous normal_saline 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,intravenous,NS,
IV-SODIUM CHLORIDE 0.9% 250ML,intravenous sodium chloride 0.9% 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,250_ml,chloride,intravenous,sodium
IVI NS 250 ML,intravenous_infusion normal_saline 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,250_ml,intravenous_infusion,NS,
NA CL 0.9% FLUSH 5ML,sodium chloride 0.9% flush 5_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,5_ml,flush,chloride,sodium
NACL .9 100 IVF,sodium_chloride 0.9 100 intravenous_fluid,Diluent / Flush / Irrigant,RETROSPECTIVE,0.9,IVF,NaCl,
NACL .9 100IVF,sodium_chloride 0.9 100ivf,Diluent / Flush / Irrigant,RETROSPECTIVE,100ivf,0.9,NaCl,
NACL .9 100ML,sodium_chloride 0.9 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.9,100_ml,NaCl,
NACL .9 1L IRR,sodium_chloride 0.9 1l irrigation,Diluent / Flush / Irrigant,RETROSPECTIVE,0.9,irr,1l,NaCl
NACL .9 250ML,sodium_chloride 0.9 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.9,250_ml,NaCl,
NACL .9 50ML,sodium_chloride 0.9 50_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,0.9,NaCl,
NACL 0.9,sodium_chloride 0.9,Diluent / Flush / Irrigant,RETROSPECTIVE,0.9,NaCl,,
NACL 0.9 % PGBK 50 ML BAG,sodium_chloride 0.9% pgbk 50_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,bag,pgbk,NaCl
NACL 0.9% *MBP* INJ 100ML,sodium_chloride 0.9% mini-bag_plus injection 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,injection,mbp,NaCl
NACL 0.9% 100ML,sodium_chloride 0.9% 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,100_ml,NaCl,
NACL 0.9% 100ML MBP,sodium_chloride 0.9% 100_ml mini-bag_plus,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,100_ml,mbp,NaCl
NACL 0.9% 250ML,sodium_chloride 0.9% 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,250_ml,NaCl,
NACL 0.9% 250ML J,sodium_chloride 0.9% 250_ml j,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,250_ml,j,NaCl
NACL 0.9% INJ 10ML,sodium_chloride 0.9% injection 10_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,injection,10_ml,NaCl
NACL 0.9% INJ 250ML,sodium_chloride 0.9% injection 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,250_ml,injection,NaCl
NACL 0.9% MINI BAG P,sodium_chloride 0.9% mini bag powder,Diluent / Flush / Irrigant,RETROSPECTIVE,mini,bag,NaCl,
NACL 0.9% MINI BAG PLUS 100ML,sodium_chloride 0.9% mini bag plus 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,mini,100_ml,plus,bag
NORMAL SALINE 10 ML VIAL (NACL0,normal saline 10_ml vial sodium chloride,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,10_ml,sodium,vial
NORMAL SALINE 100ML,normal saline 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,100_ml,normal,
NORMAL SALINE 10ML FLU,normal saline 10_ml flush,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,flush,10_ml,normal
NORMAL SALINE 3ML FLUS,normal saline 3_ml flush,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,flush,3_ml,normal
NORMAL SALINE 50ML,normal saline 50_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,50_ml,normal,
NORMAL SALINE FLUSH 10ML,normal saline flush 10_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,flush,10_ml,normal
NORMAL SALINE FLUSH SYRING 5ML,normal saline flush syringe 5_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,syringe,flush,5_ml
NORMAL SALINE SOLUTION INFUSION 250CC,normal saline solution infusion 250_cc,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,solution,infusion,normal
NS,normal_saline,Diluent / Flush / Irrigant,RETROSPECTIVE,NS,,,
NS (0.9% NACL) IV SOLUTION,normal_saline 0.9% sodium_chloride intravenous solution,Diluent / Flush / Irrigant,RETROSPECTIVE,NaCl,solution,intravenous,NS
NS 0.9 % SOLP,normal_saline 0.9% solution,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,solution,NS,
NS 0.9% 250ML,normal_saline 0.9% 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,250_ml,NS,
NS 100ML,normal_saline 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,NS,,
NS 100ML BAG,normal_saline 100_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,bag,NS,
NS 100ML INJ,normal_saline 100_ml injection,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,injection,NS,
NS 100ML IV,normal_saline 100_ml intravenous,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,intravenous,NS,
NS 10ML INJ,normal_saline 10_ml injection,Diluent / Flush / Irrigant,RETROSPECTIVE,injection,10_ml,NS,
NS 250 ML,normal_saline 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,250_ml,NS,,
NS 250ML,normal_saline 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,250_ml,NS,,
NS 50 ML,normal_saline 50_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,NS,,
NS 50ML,normal_saline 50_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,NS,,
NS 50ML ADD-A-,normal_saline 50_ml additional a,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,add,NS,
NS 50ML IV,normal_saline 50_ml intravenous,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,intravenous,NS,
NS 50ML IV BAG,normal_saline 50_ml intravenous bag,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,bag,intravenous,NS
NS FLUSH 10ML IJ,normal_saline flush 10_ml injection,Diluent / Flush / Irrigant,RETROSPECTIVE,injection,flush,10_ml,NS
NS FLUSH 3 ML,normal_saline flush 3_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,flush,3_ml,NS,
NS IRR 1L,normal_saline irrigation 1l,Diluent / Flush / Irrigant,RETROSPECTIVE,irr,1l,NS,
NSS 100ML,normal_saline_sterile 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,normal_saline_sterile,,
NSS 100ML PF INDIVIDUAL,normal_saline_sterile 100_ml partial_fill individual,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,individual,normal_saline_sterile,PF
SALINE FLUSH (NS) 0.9% NAC,saline flush normal_saline 0.9% sodium_chloride,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,NS,NaCl,flush
SALINE FLUSH (NS) 0.9% NACL 0.9% SOLN 5 ML SYR,saline flush normal_saline 0.9% sodium_chloride 0.9% solution 5_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,NS,solution,5_ml
SALINE FLUSH 0.45% 10ML,saline flush 0.45% 10_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,10_ml,0.45%,flush
SOD CHL .9 25ML VL,sodium chloride 0.9 25_ml vial,Diluent / Flush / Irrigant,RETROSPECTIVE,25_ml,vl,chloride,sodium
SOD CHL 0.9% 100ML BAG,sodium chloride 0.9% 100_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,chloride,bag,sodium
SOD CHL 0.9% 50ML MINIPL,sodium chloride 0.9% 50_ml minipl,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,minipl,chloride,sodium
SOD CHLOR .9% 100ML,sodium chloride 0.9% 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,0.90%,chloride,sodium
SOD CHLOR .9% 10ML,sodium chloride 0.9% 10_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,10_ml,0.90%,chloride,sodium
SOD CHLOR 0.9%,sodium chloride 0.9%,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,chloride,sodium,
SOD CHLORIDE,sodium chloride,Diluent / Flush / Irrigant,RETROSPECTIVE,chloride,sodium,,
SOD CHLORIDE 0.,sodium chloride 0,Diluent / Flush / Irrigant,RETROSPECTIVE,chloride,sodium,,
SOD CHLORIDE 0.9% 10 ML FLUSH,sodium chloride 0.9% 10_ml flush,Diluent / Flush / Irrigant,RETROSPECTIVE,flush,chloride,sodium,
SOD CHLORIDE 0.9% 100ML IN,sodium chloride 0.9% 100_ml injection,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,chloride,sodium,
SOD CHLORIDE 0.9% 10ML SYRINGE; SODIUM CHLORIDE 0.9% FLUSH 10 ML SY,sodium chloride 0.9% 10_ml syringe sodium chloride 0.9% flush 10_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,10_ml,flush,chloride,
AMIODARONE HCL TABLET 200MG,amiodarone hcl tablet 200_mg,Pharmacy,RETROSPECTIVE,amiodarone,tablet,hcl,200_mg
SOD CL .9% 10ML,sodium chloride 0.9% 10_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,chloride,sodium,
SOD CL 0.9% 0.9%  2.5 ML,sodium chloride 0.9% 0.9% 2.5_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,sodium,,,
SOD CL 0.9% SYRINGE-5ML,sodium chloride 0.9% syringe 5_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,5_ml,chloride,sodium,
SODIUM CHL 0,sodium chloride 0,Diluent / Flush / Irrigant,RETROSPECTIVE,sodium,,,
SODIUM CHL 0.9% INJ 100ML,sodium chloride 0.9% injection 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,injection,chloride,sodium,
SODIUM CHL PER,sodium chloride per,Diluent / Flush / Irrigant,RETROSPECTIVE,per,sodium,,
SODIUM CHL SOL,sodium chloride solution,Diluent / Flush / Irrigant,RETROSPECTIVE,solution,sodium,,
SODIUM CHLOR,sodium chloride,Diluent / Flush / Irrigant,RETROSPECTIVE,sodium,,,
SODIUM CHLOR 3% INHAL SLN,sodium chloride 3% inhalation solution,Diluent / Flush / Irrigant,RETROSPECTIVE,chloride,inhalation,sodium,
SODIUM CHLOR INJ 100 M,sodium chloride injection 100 m,Diluent / Flush / Irrigant,RETROSPECTIVE,chloride,sodium,,
SODIUM CHLORI,sodium chloride,Diluent / Flush / Irrigant,RETROSPECTIVE,sodium,,,
SODIUM CHLORID,sodium chloride,Diluent / Flush / Irrigant,RETROSPECTIVE,sodium,,,
SODIUM CHLORIDE,sodium chloride,Diluent / Flush / Irrigant,RETROSPECTIVE,sodium,,,
SODIUM CHLORIDE .9% 1000ML INJ,sodium chloride 0.9% 1000_ml injection,Diluent / Flush / Irrigant,RETROSPECTIVE,chloride,1000_ml,sodium,
SODIUM CHLORIDE .9% INJ 1,sodium chloride 0.9% injection 1,Diluent / Flush / Irrigant,RETROSPECTIVE,chloride,sodium,,
SODIUM CHLORIDE .9% INJ 2,sodium chloride 0.9% injection 2,Diluent / Flush / Irrigant,RETROSPECTIVE,chloride,sodium,,
SODIUM CHLORIDE 0,sodium chloride 0,Diluent / Flush / Irrigant,RETROSPECTIVE,sodium,,,
SODIUM CHLORIDE 0.,sodium chloride 0,Diluent / Flush / Irrigant,RETROSPECTIVE,chloride,sodium,,
SODIUM CHLORIDE 0.45%,sodium chloride 0.45%,Diluent / Flush / Irrigant,RETROSPECTIVE,chloride,0.45%,sodium,
SODIUM CHLORIDE 0.45% FLUS,sodium chloride 0.45% flush,Diluent / Flush / Irrigant,RETROSPECTIVE,flush,chloride,0.45%,sodium
SODIUM CHLORIDE 0.9,sodium chloride 0.9,Diluent / Flush / Irrigant,RETROSPECTIVE,0.9,chloride,sodium,
SODIUM CHLORIDE 0.9 % 0.9,sodium chloride 0.9% 0.9,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,0.9,chloride,sodium
SODIUM CHLORIDE 0.9 % 0.9 % PGBK 100 ML ADDVANTAGE,sodium chloride 0.9% 0.9% pgbk 100_ml advantage,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,pgbk,addvantage,chloride
SODIUM CHLORIDE 0.9 % INTRAVENOUS SOLUTION,sodium chloride 0.9% intravenous solution,Diluent / Flush / Irrigant,RETROSPECTIVE,solution,chloride,intravenous,sodium
SODIUM CHLORIDE 0.9 % IV SOLP,sodium chloride 0.9% intravenous solution,Diluent / Flush / Irrigant,RETROSPECTIVE,solution,chloride,intravenous,sodium
SODIUM CHLORIDE 0.9 % PGBK 100 ML BAG,sodium chloride 0.9% pgbk 100_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,pgbk,chloride,bag
SODIUM CHLORIDE 0.9 % SO,sodium chloride 0.9% so,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,chloride,sodium,
SODIUM CHLORIDE 0.9 % SOLN,sodium chloride 0.9% solution,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,chloride,solution,sodium
SODIUM CHLORIDE 0.9 % SOLN 10 ML VIAL,sodium chloride 0.9% solution 10_ml vial,Diluent / Flush / Irrigant,RETROSPECTIVE,vial,10_ml,chloride,solution
SODIUM CHLORIDE 0.9 % SOLP,sodium chloride 0.9% solution,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,chloride,solution,sodium
SODIUM CHLORIDE 0.9 % SYRG 10 ML SYRINGE,sodium chloride 0.9% syringe 10_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,syringe,10_ml,chloride,sodium
SODIUM CHLORIDE 0.9%,sodium chloride 0.9%,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,chloride,sodium,
SODIUM CHLORIDE 0.9% 0.9,sodium chloride 0.9% 0.9,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,0.9,chloride,sodium
SODIUM CHLORIDE 0.9% 0.9 % SOLP,sodium chloride 0.9% 0.9% solution,Diluent / Flush / Irrigant,RETROSPECTIVE,chloride,solution,sodium,
SODIUM CHLORIDE 0.9% 0.9 % SOLP 50 ML BAG,sodium chloride 0.9% 0.9% solution 50_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,bag,chloride,solution
SODIUM CHLORIDE 0.9% 0.9% SOLN,sodium chloride 0.9% 0.9% solution,Diluent / Flush / Irrigant,RETROSPECTIVE,chloride,solution,sodium,
SODIUM CHLORIDE 0.9% 0.9% SYRG 10 ML SYRINGE,sodium chloride 0.9% 0.9% syringe 10_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,syringe,10_ml,chloride,sodium
SODIUM CHLORIDE 0.9% 100 ML BA,sodium chloride 0.9% 100_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,chloride,bag,sodium
SODIUM CHLORIDE 0.9% 100ML,sodium chloride 0.9% 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,100_ml,chloride,sodium
SODIUM CHLORIDE 0.9% 100ML 0264-1800-32,sodium chloride 0.9% 100_ml 264 1800 32,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,chloride,sodium,
SODIUM CHLORIDE 0.9% 100ML IV,sodium chloride 0.9% 100_ml intravenous,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,chloride,intravenous,sodium
SODIUM CHLORIDE 0.9% 10ML SY,sodium chloride 0.9% 10_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,syringe,10_ml,chloride,sodium
CBC WITH AUTO DIFFERENTIAL,complete_blood_count with automated differential,Laboratory,RETROSPECTIVE,CBC,auto,differential,
SODIUM CHLORIDE 0.9% 250ML I,sodium chloride 0.9% 250_ml i,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,250_ml,chloride,sodium
SODIUM CHLORIDE 0.9% 250ML IV,sodium chloride 0.9% 250_ml intravenous,Diluent / Flush / Irrigant,RETROSPECTIVE,250_ml,chloride,intravenous,sodium
SODIUM CHLORIDE 0.9% 25ML,sodium chloride 0.9% 25_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,25_ml,chloride,sodium
SODIUM CHLORIDE 0.9% 50ML,sodium chloride 0.9% 50_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,50_ml,chloride,sodium
SODIUM CHLORIDE 0.9% 50ML 5 0264-1800-31,sodium chloride 0.9% 50_ml 5 264 1800 31,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,chloride,sodium,
SODIUM CHLORIDE 0.9% 50ML BAG,sodium chloride 0.9% 50_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,bag,chloride,sodium
SODIUM CHLORIDE 0.9% 50ML MB+,sodium chloride 0.9% 50_ml mb and,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,chloride,sodium,
SODIUM CHLORIDE 0.9% FLU,sodium chloride 0.9% flush,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,flush,chloride,sodium
SODIUM CHLORIDE 0.9% INJ,sodium chloride 0.9% injection,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,injection,chloride,sodium
SODIUM CHLORIDE 0.9% INJ 10ML,sodium chloride 0.9% injection 10_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,10_ml,injection,chloride,sodium
SODIUM CHLORIDE 0.9% IV,sodium chloride 0.9% intravenous,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,chloride,intravenous,sodium
SODIUM CHLORIDE 0.9% IVPB  5,sodium chloride 0.9% intravenous_piggyback 5,Diluent / Flush / Irrigant,RETROSPECTIVE,IVPB,chloride,sodium,
SODIUM CHLORIDE 0.9% QS BASE,sodium chloride 0.9% quantity_sufficient base,Diluent / Flush / Irrigant,RETROSPECTIVE,base,chloride,qs,sodium
SODIUM CHLORIDE 0.9% SO,sodium chloride 0.9% so,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,chloride,sodium,
SODIUM CHLORIDE 0.9% SOL,sodium chloride 0.9% solution,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,chloride,solution,sodium
SODIUM CHLORIDE 0.9% SOL 100ML,sodium chloride 0.9% solution 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,chloride,solution,sodium
SODIUM CHLORIDE 0.9% SOLN,sodium chloride 0.9% solution,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,chloride,solution,sodium
SODIUM CHLORIDE 0.9% SOLN HPH0-0000-30,sodium chloride 0.9% solution hph0 0 30,Diluent / Flush / Irrigant,RETROSPECTIVE,chloride,solution,sodium,
SODIUM CHLORIDE 0.9% SOLP,sodium chloride 0.9% solution,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,chloride,solution,sodium
SODIUM CHLORIDE 0.9% SYRG,sodium chloride 0.9% syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,syringe,chloride,sodium
SODIUM CHLORIDE 0.9% SYRG 10 ML SYRINGE,sodium chloride 0.9% syringe 10_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,syringe,10_ml,chloride,sodium
SODIUM CHLORIDE 0.9% VIAL 10ML,sodium chloride 0.9% vial 10_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,vial,10_ml,chloride,sodium
SODIUM CHLORIDE 10 ML SYR,sodium chloride 10_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,syringe,10_ml,chloride,sodium
SODIUM CHLORIDE FLUSH 0.9% SYRG 10 ML SYRINGE,sodium chloride flush 0.9% syringe 10_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,syringe,10_ml,flush,chloride
SODIUM CHLORIDE INJ 0.9%,sodium chloride injection 0.9%,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,injection,chloride,sodium
SODIUM CHLORIDE INJ SODIUM CHLORIDE 0.9%,sodium chloride injection sodium chloride 0.9%,Diluent / Flush / Irrigant,RETROSPECTIVE,injection,chloride,sodium,
SODIUM CHLORIDE PER 250 ML,sodium chloride per 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,250_ml,chloride,per,sodium
SODIUM CL 0.9% 100ML V,sodium chloride 0.9% 100_ml view,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,chloride,sodium,
SODIUM CL 0.9% IVS; NACL 0.9%,sodium chloride 0.9% intravenous sodium_chloride 0.9%,Diluent / Flush / Irrigant,RETROSPECTIVE,NaCl,chloride,intravenous,sodium
SODIUM CL C,sodium chloride cap,Diluent / Flush / Irrigant,RETROSPECTIVE,c,chloride,sodium,
SOL IRRIG WATER 3.5OZ-1939,solution irrigation water 3.5oz 1939,Diluent / Flush / Irrigant,RETROSPECTIVE,water,irrigation,solution,
SOL NORMAL SALINE 0.9% SC 5,solution normal saline 0.9% subcutaneous 5,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,subcutaneous,solution,normal
SOL WATER ST 1000ML,solution water sterile 1000_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,water,solution,1000_ml,st
SOLN .9% NACL,solution 0.9% sodium_chloride,Diluent / Flush / Irrigant,RETROSPECTIVE,NaCl,solution,0.90%,
STERILE WATER,sterile water,Diluent / Flush / Irrigant,RETROSPECTIVE,water,sterile,,
STERILE WATER 1000ML,sterile water 1000_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,water,sterile,1000_ml,
STERILE WATER FOR COMPOUNDING,sterile water for compounding,Diluent / Flush / Irrigant,RETROSPECTIVE,water,compounding,sterile,
STERILE WATER FOR INJ 1000ML,sterile water for injection 1000_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,water,injection,sterile,1000_ml
STERILE WATER FOR INJECTION 10,sterile water for injection 10,Diluent / Flush / Irrigant,RETROSPECTIVE,water,injection,sterile,
STERILE WATER FOR INJECTION SOLP,sterile water for injection solution,Diluent / Flush / Irrigant,RETROSPECTIVE,water,injection,sterile,solution
STERILE WATER IRRIGATION 50,sterile water irrigation 50,Diluent / Flush / Irrigant,RETROSPECTIVE,water,irrigation,sterile,
STERILE WATER QS BASE,sterile water quantity_sufficient base,Diluent / Flush / Irrigant,RETROSPECTIVE,water,sterile,qs,base
STERILE WATER SOLN,sterile water solution,Diluent / Flush / Irrigant,RETROSPECTIVE,water,sterile,solution,
CALCIUM IONIZED,calcium ionized,Laboratory,RETROSPECTIVE,calcium,ionized,,
STERILE WATER SOLP,sterile water solution,Diluent / Flush / Irrigant,RETROSPECTIVE,water,sterile,solution,
STERILE WATER SOLP 1 000 ML BAG,sterile water solution 1 000_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,water,bag,000_ml,sterile
WATER 250ML (IRRIG),water 250_ml irrigation,Diluent / Flush / Irrigant,RETROSPECTIVE,water,250_ml,irrigation,
WATER FOR INJECTION  STERILE IV,water for injection sterile intravenous,Diluent / Flush / Irrigant,RETROSPECTIVE,water,injection,sterile,intravenous
WATER FOR IRRIGATION  STERILE SOLUTION,water for irrigation sterile solution,Diluent / Flush / Irrigant,RETROSPECTIVE,water,irrigation,sterile,solution
WATER FOR IRRIGATION 500ML,water for irrigation 500_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,water,irrigation,500_ml,
WATER STERILE FOR INJ 100,water sterile for injection 100,Diluent / Flush / Irrigant,RETROSPECTIVE,water,injection,sterile,
WCH HEPARIN 10U/ML PF 1ML,heparin 10_units/ml partial_fill 1_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,PF,1_ml,10_units/ml
*SILDENAFIL CITRATE 20 MG TAB,sildenafil citrate 20_mg tablet,Plan Benefit,RETROSPECTIVE,20_mg,sildenafil,tablet,citrate
10 MG SILDENAFIL 2.5 MG/ML SUSPENSION 10 ML,10_mg sildenafil 2.5_mg/ml suspension 10_ml,Plan Benefit,RETROSPECTIVE,suspension,10_ml,sildenafil,10_mg
25000001-SILDENAFIL 50 MG TAB,sildenafil 50_mg tablet,Plan Benefit,RETROSPECTIVE,50_mg,sildenafil,tablet,
25000522-DORNASE ALPHA 1 MG/ML SOLN 2.5 ML PLAS CONT,dornase alpha 1_mg/ml solution 2.5_ml plastic container,Plan Benefit,RETROSPECTIVE,alpha,plastic,container,solution
5 MG SILDENAFIL,5_mg sildenafil,Plan Benefit,RETROSPECTIVE,5_mg,sildenafil,,
8 MG SILDENAFIL 2.5 MG/ML SUSPENSION,8_mg sildenafil 2.5_mg/ml suspension,Plan Benefit,RETROSPECTIVE,suspension,8_mg,sildenafil,2.5mg/ml
ANTITHROM REC 100-NDC04297612102,antithrombin recombinant 100 ndc04297612102,Plan Benefit,RETROSPECTIVE,antithrombic,rec,ndc04297612102,
ANTITHROMBIN III 1750 UNITS SOLR 1 INT'L UNITS VIAL,antithrombin iii 1750_units solution 1 intl_units vial,Plan Benefit,RETROSPECTIVE,int,solution,vial,1750_units
ANTITHROMBIN III 1U NE,antithrombin iii 1u ne,Plan Benefit,RETROSPECTIVE,1u,iii,antithrombin,ne
ANTITHROMBIN III 50 IU,antithrombin iii 50 iu,Plan Benefit,RETROSPECTIVE,iu,iii,antithrombin,
ANTITHROMBIN III 500 UN,antithrombin iii 500_units,Plan Benefit,RETROSPECTIVE,500_units,iii,antithrombin,
BOSENTAN 125 MG TAB,bosentan 125_mg tablet,Plan Benefit,RETROSPECTIVE,bosentan,tablet,125_mg,
BOSENTAN 31.25 MG/0.,bosentan 31.25_mg/0,Plan Benefit,RETROSPECTIVE,bosentan,31.25_mg/0.,,
BOSENTAN 5 MG/ML SUSP,bosentan 5_mg/ml suspension,Plan Benefit,RETROSPECTIVE,suspension,bosentan,5_mg/ml,
BOSENTAN 5MG/ML LIQUID,bosentan 5_mg/ml liquid,Plan Benefit,RETROSPECTIVE,bosentan,5_mg/ml,liquid,
BOSENTAN 5MG/ML ORAL SYR,bosentan 5_mg/ml oral syringe,Plan Benefit,RETROSPECTIVE,syringe,bosentan,5_mg/ml,oral
BOSENTAN 62.5 MG TAB,bosentan 62.5_mg tablet,Plan Benefit,RETROSPECTIVE,62.5_mg,bosentan,tablet,
BOSENTAN 62.5 MG TABLET,bosentan 62.5_mg tablet,Plan Benefit,RETROSPECTIVE,62.5_mg,bosentan,tablet,
BOSENTAN 62.5 MG TABS 60 EA 66215-101-06,bosentan 62.5_mg tablets 60 each 66215 101 6,Plan Benefit,RETROSPECTIVE,bosentan,tablets,,
BOSENTAN 62.5 MG TABS 66215-101-06,bosentan 62.5_mg tablets 66215 101 6,Plan Benefit,RETROSPECTIVE,bosentan,tablets,,
