Original Description,Normalized Description,Changes,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Voting Algorithm,Sum Correct,Correct_Jaro,Correct_DLevenshtein,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
ABO TYPE,abo type,abo:abo||type:type||,Laboratory,0.85,Laboratory,0.88,Laboratory,0.903445899613,Laboratory,0.971696241039,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.901285535163,type,abo,,
ABSOLUTE RETICS,absolute retics,absolute:absolute||retics:retics||,Monitoring,0.75,Diluent / Flush / Irrigant,0.43,Laboratory,0.911450941014,Laboratory,0.997864723814,Laboratory,"Logistic_OvR, DeepNN",2,0,0,1,1,0.477328916207,retics,absolute,,
ACCUCHECK,accucheck,accucheck:accucheck||,Monitoring,0.85,Monitoring,0.96,Laboratory,0.174287052337,Laboratory,0.276754427139,Monitoring,"Jaro, DLevenshtein",2,1,1,0,0,0.4525,accucheck,,,
ACCUCHECK  SINGLE,accucheck single,accucheck:accucheck||single:single||,Monitoring,0.79,Monitoring,0.81,Supply,0.561856254312,Supply,0.331153754383,Monitoring,"Jaro, DLevenshtein",2,1,1,0,0,0.4,single,accucheck,,
ACID FAST CULTURE,acid fast culture,acid:acid||fast:fast||culture:culture||,Laboratory,0.76,Laboratory,0.88,Laboratory,0.9494609459,Laboratory,0.999768676907,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.897307405702,culture,acid,fast,
ACT LR,activity leukocyte_reduced,act:activity||lr:leukocyte reduced||,Pharmacy,0.75,Pharmacy,0.44,Laboratory,0.539900464247,Blood Products,0.925403031451,Pharmacy,"Jaro, DLevenshtein",2,1,1,0,0,0.2975,lr,act,,
ADH TOP MASTISL 2/3ML VI 0523-,adhesive top mastisol 2/3_ml vial 523,adh:adhesive||top:top||mastisl:mastisol||2:2||3ml:3_ml||vi:vial||0523:523||,Pharmacy,0.67,Pharmacy,0.33,Supply,0.96,Supply,0.86195795401,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.455489488503,vi,adhesive,top,2/3_ml
ADL SELFCARE MANAGEMENT TRAIN,activities_of_daily_living selfcare management train,adl:activities_of_daily_living||selfcare:selfcare||management:management||train:train||,OR / Anesthesia / Recovery Room,0.73,Supply,0.81,PT / OT / Speech Therapy,0.458709895891,PT / OT / Speech Therapy,0.887131175038,PT / OT / Speech Therapy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.336460267732,selfcare,train,management,adl
ADMIN SET IV BLD FLD Y 4C8723,administration set intravenous blood field y 4c8723,admin:administration||set:set||iv:intravenous||bld:blood||fld:field||y:y||4c8723:4c8723||,Diluent / Flush / Irrigant,0.7,Laboratory,0.35,Supply,0.76,Supply,0.941961384578,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.425490346144,set,administration,fld,bld
ADULT FOAM ELECTRODES (PACK),adult foam electrodes pack,adult:adult||foam:foam||electrodes:electrodes||pack:pack||,Supply,0.72,Supply,0.48,Supply,0.96,Supply,0.971693318621,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.782923329655,foam,adult,electrodes,pack
AEROBIC CULTURE (AER),aerobic culture aero,aerobic:aerobic||culture:culture||aer:aero||,Laboratory,0.78,Laboratory,0.81,Laboratory,0.96,Laboratory,0.996466703261,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.886616675815,aerobic,culture,aero,
AEROCHAMBER DEVICE,aerochamber device,aerochamber:aerochamber||device:device||,PT / OT / Speech Therapy,0.73,Monitoring,0.47,Supply,0.92,Supply,0.949409864753,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.467352466188,aerochamber,device,,
AEROSOL INHALATION SUBSEQ,aerosol inhalation subsequent,aerosol:aerosol||inhalation:inhalation||subseq:subsequent||,Respiratory Therapy,0.85,Respiratory Therapy,0.93,Respiratory Therapy,0.92,Respiratory Therapy,0.99802033009,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.924505082522,subseq,aerosol,inhalation,
AEROSOL TREATMENT SUBSEQUENT,aerosol treatment subsequent,aerosol:aerosol||treatment:treatment||subsequent:subsequent||,Respiratory Therapy,0.75,PT / OT / Speech Therapy,0.81,Respiratory Therapy,0.96,Respiratory Therapy,0.997897783487,Respiratory Therapy,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.902632594496,subsequent,aerosol,treatment,
AG DETECTION POLIVAL IF EACH,silver detection polival if each,ag:silver||detection:detection||polival:polival||if:if||each:each||,Laboratory,0.78,Laboratory,0.81,Laboratory,0.96,Laboratory,0.975046044092,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.881261511023,detection,polival,silver,
AHG (COOMBS) TEST,ahg coombs test,ahg:ahg||coombs:coombs||test:test||,Laboratory,0.73,Laboratory,0.81,Laboratory,0.926305152577,Laboratory,0.995754635202,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.865514946945,test,coombs,ahg,
AIRWAY LMA UNIQUE STD 3,airway lma unique standard 3,airway:airway||lma:lma||unique:unique||std:standard||3:3||,Respiratory Therapy,0.74,Respiratory Therapy,0.43,Supply,0.41749202698,Supply,0.727797698236,Respiratory Therapy,"Jaro, DLevenshtein",2,1,1,0,0,0.2925,lma,unique,std,airway
AIRWAY MAINTENANCE/20,airway maintenance/20,airway:airway||maintenance:maintenance||20:20||,Respiratory Therapy,0.75,Respiratory Therapy,0.4,Respiratory Therapy,0.92,Respiratory Therapy,0.764080136183,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.708520034046,maintenance/20,airway,,
AIRWY OP BRMN MEDC 80MM X1,airway operative brmn medc 80mm x1,airwy:airway||op:operative||brmn:brmn||medc:medc||80mm:80mm||x1:x1||,Supply,0.74,Supply,0.43,Respiratory Therapy,0.454487474084,Procedure,0.685385731392,Supply,"Jaro, DLevenshtein",2,1,1,0,0,0.2925,medc,80mm,airway,brmn
ALARIS 8100 LVP MOD,alaris 8100 lvp module,alaris:alaris||8100:8100||lvp:lvp||mod:module||,Capital Equipment,0.74,Capital Equipment,0.44,Supply,0.534099553446,Pharmacy,0.399108573069,Capital Equipment,"Jaro, DLevenshtein",2,1,1,0,0,0.295,alaris,lvp,mod,
ALBUTEROL 90 MCG/ACTUATION,albuterol 90 mcg_gram_aerosol/actuation,albuterol:albuterol||90:90||mcg:mcg_gram_aerosol||actuation:actuation||,Pharmacy,0.72,Pharmacy,0.46,Pharmacy,0.908243648738,Pharmacy,0.999826837621,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.77201762159,albuterol,actuation,mcg_gram_aerosol,
ALBUTEROL 90 MCG/PUFF HFAA 8 G CANISTER,albuterol 90 mcg_gram_aerosol/puff hfaa 8 gram canister,albuterol:albuterol||90:90||mcg:mcg_gram_aerosol||puff:puff||hfaa:hfaa||8:8||g:gram||canister:canister||,Laboratory,0.7,Pharmacy,0.39,Pharmacy,0.96,Pharmacy,0.998876811352,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.782958937117,albuterol,mcg_gram_aerosol,canister,hfaa
ALBUTEROL 90 MCG/PUFF HFAA 8.5 G CANISTER,albuterol 90 mcg_gram_aerosol/puff hfaa 8.5 gram canister,albuterol:albuterol||90:90||mcg:mcg_gram_aerosol||puff:puff||hfaa:hfaa||8.5:8.5||g:gram||canister:canister||,Laboratory,0.7,Pharmacy,0.37,Pharmacy,0.96,Pharmacy,0.998876811352,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.776292270451,albuterol,8.5,mcg_gram_aerosol,canister
ALBUTEROL INH U.D. PER MG .....,albuterol inhaled u daily per milligram,albuterol:albuterol||inh:inhaled||u:u||d:daily||per:per||mg:milligram||,Pharmacy,0.75,Pharmacy,0.81,Pharmacy,0.76,Pharmacy,0.967185972771,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.821796493193,albuterol,inh,daily,mg
ALBUTEROL SULF 0.83MG/ML 3ML,albuterol sulfate 0.83_mg/ml 3_ml,albuterol:albuterol||sulf:sulfate||0.83mg:0.83_mg||ml:ml||3ml:3_ml||,Pharmacy,0.85,Pharmacy,0.93,Pharmacy,0.985242576237,Pharmacy,0.999995994429,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.941309642666,albuterol,sulfate,0.83_mg/ml,3_ml
ALBUTEROL SULFATE 0.083% INTERMITTENT I,albuterol sulfate 0.083% intermittent i,albuterol:albuterol||sulfate:sulfate||0.083%:0.083%||intermittent:intermittent||i:i||,Pharmacy,0.75,Pharmacy,0.81,Pharmacy,0.953831513254,Pharmacy,0.999794187267,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.87840642513,0.083%,albuterol,sulfate,intermittent
ALPHA-FETOPROTEIN SERUM,alpha fetoprotein serum,alpha:alpha||fetoprotein:fetoprotein||serum:serum||,Laboratory,0.75,Laboratory,0.48,Laboratory,0.96,Laboratory,0.997292294067,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.796823073517,alpha,fetoprotein,serum,
ALT SGPT,an alanine aminotransferase test serum_glutamic_pyruvic_transaminase,alt:an alanine aminotransferase test||sgpt:serum_glutamic_pyruvic_transaminase||,Laboratory,0.74,Laboratory,0.93,Laboratory,0.96,Laboratory,0.999874103176,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.907468525794,aminotransferase,test,alanine,sgpt
ALVIMOPAN 12 MG CAP,alvimopan 12_mg capillary,alvimopan:alvimopan||12_mg:12_mg||cap:capillary||,Pharmacy,0.74,Pharmacy,0.45,Pharmacy,0.942639838193,Pharmacy,0.996163480149,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.782200829585,capillary,12_mg,alvimopan,
AMINO ACID 4.25/5 DE,amino acid 4.25/5 device,amino:amino||acid:acid||4.25:4.25||5:5||de:device||,Pharmacy,0.68,Pharmacy,0.36,Laboratory,0.439199436609,Laboratory,0.765071439037,Laboratory,"Logistic_OvR, DeepNN",2,0,0,1,1,0.301067718911,de,acid,4.25/5,amino
AMINO ACIDS PLASMA,amino acids plasma,amino:amino||acids:acids||plasma:plasma||,Laboratory,0.85,Laboratory,0.88,Laboratory,0.96,Laboratory,0.988676594198,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.919669148549,acids,plasma,amino,
AMINOCAPROIC ACID 250 MG/ML SOLN 20 ML VIAL,aminocaproic acid 250_mg/ml solution 20_ml vial,aminocaproic:aminocaproic||acid:acid||250_mg:250_mg||ml:ml||soln:solution||20_ml:20_ml||vial:vial||,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.955870843845,Pharmacy,0.995652651675,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.92038087388,vial,soln,20_ml,250_mg/ml
AMIODARONE HCL TABLET 200MG,amiodarone hcl tablet 200_mg,amiodarone:amiodarone||hcl:hcl||tablet:tablet||200mg:200_mg||,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.973917177119,Pharmacy,0.999976544298,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.925973430354,amiodarone,tablet,hcl,200_mg
AMIODARONE IN 5% DEXTROSE 150 MG/100 ML (1.5 MG/ML) SOLN,amiodarone inhibition 5% dextrose 150_mg/100_ml 1.5_mg/ml solution,amiodarone:amiodarone||in:inhibition||5%:5%||dextrose:dextrose||150_mg:150_mg||100_ml:100_ml||1.5_mg:1.5_mg||ml:ml||soln:solution||,Pharmacy,0.76,Pharmacy,0.81,Pharmacy,0.929206842159,Pharmacy,0.996694700814,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.873975385743,150_mg/100_ml,soln,amiodarone,1.5_mg/ml
AMNIOFIX INJ 160MG AI-5200,amniofix injection 160_mg ai 5200,amniofix:amniofix||inj:injection||160mg:160_mg||ai:ai||5200:5200||,Pharmacy,0.7,Pharmacy,0.45,Pharmacy,0.900200745993,Pharmacy,0.997613577449,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.76195358086,160_mg,amniofix,inj,ai
AMOXICILLIN SUSPENSION 50 M WCH00-0004-28,amoxicillin suspension 50 m wch00 4 28,amoxicillin:amoxicillin||suspension:suspension||50:50||m:m||wch00:wch00||0004:4||28:28||,Plan Benefit,0.77,Plan Benefit,0.81,Pharmacy,0.944832113302,Pharmacy,0.999851750599,Pharmacy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.486170965975,suspension,amoxicillin,wch00,
ANAERO CULT ISO & PRESUMPT ID,anaerobic cult iso and_insert presumptive id,anaero:anaerobic||cult:cult||iso:iso||&:and_insert||presumpt:presumptive||id:id||,Laboratory,0.85,Laboratory,0.96,Laboratory,0.96,Laboratory,0.948583294758,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.92964582369,id,presumptive,&,iso
ANAEROBIC CULTURE EXC BLOO,anaerobic culture excel blood,anaerobic:anaerobic||culture:culture||exc:excel||bloo:blood||,Laboratory,0.79,Laboratory,0.81,Laboratory,0.971849308867,Laboratory,0.999706277229,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.892888896524,culture,excel,anaerobic,bloo
ANTIMICROBIAL BREAKPOINT/MIC,antimicrobial breakpoint/microclave,antimicrobial:antimicrobial||breakpoint:breakpoint||mic:microclave||,Plan Benefit,0.7,Plan Benefit,0.37,Laboratory,0.76,Pharmacy,0.487229765199,Plan Benefit,"Jaro, DLevenshtein",2,1,1,0,0,0.2675,antimicrobial,microclave,breakpoint,
ANTI-PHOSPHATIDYL,anti phosphatidyl,anti:anti||phosphatidyl:phosphatidyl||,Diluent / Flush / Irrigant,0.71,Laboratory,0.81,Laboratory,0.92,Laboratory,0.973003976574,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.901001325525,phosphatidyl,anti,,
ARM RESTRAINT,arm restraint,arm:arm||restraint:restraint||,Laboratory,0.85,Laboratory,0.81,Supply,0.455675858805,Supply,0.416279782357,Laboratory,"Jaro, DLevenshtein",2,1,1,0,0,0.415,restraint,arm,,
ARTIFICIAL TEARS OINT 3.5 G TUBE,artificial tears ointment 3.5 gram tube,artificial:artificial||tears:tears||oint:ointment||3.5:3.5||g:gram||tube:tube||,Laboratory,0.69,Supply,0.47,Supply,0.96,Supply,0.989632282381,Supply,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.806544094127,tube,artificial,tears,3.5
ASPIRIN 325 MG TABS,aspirin 325_mg tablets,aspirin:aspirin||325_mg:325_mg||tabs:tablets||,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.937833975604,Pharmacy,0.999827700637,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.91691541906,tabs,325_mg,aspirin,
ASPIRIN 325MG; ASPIRIN 325 MG TABLET .EC,aspirin 325_mg aspirin 325_mg tablet each,aspirin:aspirin||325mg:325_mg||aspirin:aspirin||325_mg:325_mg||tablet:tablet||ec:each||,Pharmacy,0.68,Pharmacy,0.45,Pharmacy,0.967494493119,Pharmacy,0.999944943043,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.77435985904,325_mg,tablet,aspirin,
ASPIRIN 81 MGCHEW 750 EACH BLIST PACK,aspirin 81_mgchew 750 each blister pack,aspirin:aspirin||81_mgchew:81_mgchew||750:750||each:each||blist:blister||pack:pack||,Pharmacy,0.85,Pharmacy,0.81,Pharmacy,0.587044241522,Pharmacy,0.907367311953,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.788602888369,81_mgchew,blister,pack,aspirin
ASSAY OF PHOSPHORUS,assay of phosphorus,assay:assay||of:of||phosphorus:phosphorus||,Laboratory,0.75,Laboratory,0.81,Laboratory,0.933250933441,Laboratory,0.999627836331,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.873219692443,assay,phosphorus,,
BACITRACIN 500 UNIT/GRAM OINT 14 G TUBE,bacitracin 500_units/gram ointment 14 gram tube,bacitracin:bacitracin||500_unit:500_units||gram:gram||oint:ointment||14:14||g:gram||tube:tube||,Pharmacy,0.85,Pharmacy,0.81,Pharmacy,0.92,Pharmacy,0.980913725688,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.890228431422,tube,bacitracin,gram,oint
BACITRACIN 50MU VL,bacitracin 50mu vial,bacitracin:bacitracin||50mu:50mu||vl:vial||,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.96,Pharmacy,0.998042335615,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.922010583904,vial,50mu,bacitracin,
BANDAGE SCISSORS,bandage scissors,bandage:bandage||scissors:scissors||,Supply,0.73,Supply,0.44,Supply,0.96,Supply,0.975135237126,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.776283809281,scissors,bandage,,
BASIC ANES SERVICES,basic anesthesia services,basic:basic||anes:anesthesia||services:services||,OR / Anesthesia / Recovery Room,0.85,OR / Anesthesia / Recovery Room,0.93,OR / Anesthesia / Recovery Room,0.92,OR / Anesthesia / Recovery Room,0.99988156258,OR / Anesthesia / Recovery Room,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.924970390645,services,anesthesia,basic,
BEBONKERS SUCTION,bebonkers suction,bebonkers:bebonkers||suction:suction||,Nursing Services,0.76,Nursing Services,0.81,Supply,0.92,Supply,0.968127656341,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.472031914085,suction,bebonkers,,
BEDSIDE GLUCOSE TEST,bedside glucose test,bedside:bedside||glucose:glucose||test:test||,Monitoring,0.85,Laboratory,0.93,Monitoring,0.92,Monitoring,0.994208455573,Monitoring,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.921402818524,test,bedside,glucose,
BENZODIAZEPINESI-,benzodiazepines,benzodiazepinesi:benzodiazepines||,Laboratory,0.75,Laboratory,0.38,Pharmacy,0.92,Pharmacy,0.990098789704,Pharmacy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.477524697426,benzodiazepines,,,
BLADE SURG CLPR STD 1 PASS,blade surgical clpr standard 1 pass,blade:blade||surg:surgical||clpr:clpr||std:standard||1:1||pass:pass||,Supply,0.7,Supply,0.43,Supply,0.96,Supply,0.9947422705,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.771185567625,clpr,surg,blade,pass
BLANKET ADULT UNDERBODY,blanket adult underbody,blanket:blanket||adult:adult||underbody:underbody||,Supply,0.73,Supply,0.88,Supply,0.96,Supply,0.994313125351,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.891078281338,blanket,adult,underbody,
BLD GAS-PH PO2 PCO2,blood gas hydrogen_ion_concentration partial_pressure_of_oxygen partial_pressure_of_carbon_dioxide,bld:blood||gas:gas||ph:hydrogen ion concentration||po2:partial_pressure_of_oxygen||pco2:partial_pressure_of_carbon_dioxide||,Laboratory,0.73,Laboratory,0.41,Monitoring,0.442298404494,Monitoring,0.874440195456,Monitoring,"Logistic_OvR, DeepNN",2,0,0,1,1,0.329184649988,pco2,po2,hydrogen_ion_concentration,gas
BLD# PLTLT AUTO,blood platelet automated,bld:blood||pltlt:platelet||auto:automated||,Laboratory,0.75,Laboratory,0.81,Laboratory,0.92,Laboratory,0.884643703663,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.841160925916,platelet,blood,automated,
BLD# RETICULOCYTE MNL,blood reticulocyte manual,bld:blood||reticulocyte:reticulocyte||mnl:manual||,Laboratory,0.72,Laboratory,0.48,Laboratory,0.96,Laboratory,0.74223379749,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.725558449372,reticulocyte,manual,blood,
BLDE CLIPPER SNGL USE,blade clipper single use,blde:blade||clipper:clipper||sngl:single||use:use||,Supply,0.75,Monitoring,0.45,Supply,0.96,Supply,0.995779183711,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.90192639457,clipper,sngl,blade,use
BLOOD CULTURE FOR BACTERIA,blood culture for bacteria,blood:blood||culture:culture||for:for||bacteria:bacteria||,Laboratory,0.85,Laboratory,0.81,Laboratory,0.962687934912,Laboratory,0.999349156111,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.905509272756,culture,blood,bacteria,
BLOOD GAS-ARTERIAL,blood gas arterial,blood:blood||gas:gas||arterial:arterial||,Laboratory,0.85,Monitoring,0.81,Monitoring,0.491887172512,Monitoring,0.824853002006,Monitoring,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.708913391506,arterial,gas,blood,
BODY ALIGNER,body aligner,body:body||aligner:aligner||,Respiratory Therapy,0.75,Laboratory,0.42,Laboratory,0.92,Laboratory,0.857447949967,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.732482649989,body,aligner,,
BOOT SUTURE,boot suture,boot:boot||suture:suture||,Nursing Services,0.77,Laboratory,0.81,Supply,0.96,Supply,0.996283318822,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.489070829706,suture,boot,,
BORRELLA BURGDORF,borrelia burgdorferi,borrella:borrelia||burgdorf:burgdorferi||,Laboratory,0.69,Radiology,0.36,Laboratory,0.924320046897,Laboratory,0.988812527336,Laboratory,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.867710858078,borrelia,burgdorferi,,
BOSENTAN 6.25 MG/ML SOLN 5 ML BOTTLE,bosentan 6.25_mg/ml solution 5_ml bottle,bosentan:bosentan||6.25_mg:6.25_mg||ml:ml||soln:solution||5_ml:5_ml||bottle:bottle||,Plan Benefit,0.78,Plan Benefit,0.88,Pharmacy,0.529426649794,Plan Benefit,0.986029974678,Plan Benefit,"Jaro, DLevenshtein, DeepNN",3,1,1,0,1,0.882009991559,6.25_mg/ml,bosentan,soln,bottle
BREAST PUMP,breast pump,breast:breast||pump:pump||,Capital Equipment,0.74,Capital Equipment,0.81,Capital Equipment,0.76,Capital Equipment,0.813277778327,Capital Equipment,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.780819444582,pump,breast,,
BRIMONIDINE OP SO 0.2,brimonidine operative so 0.2,brimonidine:brimonidine||op:operative||so:so||0.2:0.2||,Radiology,0.69,Pharmacy,0.43,Pharmacy,0.293363883305,Procedure,0.884455719894,Pharmacy,"DLevenshtein, Logistic_OvR",2,0,1,1,0,0.180840970826,brimonidine,0.2,op,
BROMOCRIPTINE 2.5 MG TABLET,bromocriptine 2.5_mg tablet,bromocriptine:bromocriptine||2.5_mg:2.5_mg||tablet:tablet||,Pharmacy,0.78,Plan Benefit,0.88,Pharmacy,0.944769701378,Pharmacy,0.999334760695,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.908034820691,bromocriptine,tablet,2.5_mg,
B-TYPE NATRIURETIC PEPTIDE,b type natriuretic peptide,b:b||type:type||natriuretic:natriuretic||peptide:peptide||,Laboratory,0.78,Laboratory,0.93,Laboratory,0.92479104827,Laboratory,0.999215276476,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.908501581187,peptide,b,type,natriuretic
B-TYPE NATRIURETIC PEPTIDE (BN,b type natriuretic peptide bone,b:b||type:type||natriuretic:natriuretic||peptide:peptide||bn:bone||,Laboratory,0.76,Laboratory,0.93,Laboratory,0.96,Laboratory,0.654919372395,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.826229843099,peptide,b,type,bone
B-TYPE NATRIURETIC PEPTIDE PLASMA,b type natriuretic peptide plasma,b:b||type:type||natriuretic:natriuretic||peptide:peptide||plasma:plasma||,Laboratory,0.73,Laboratory,0.88,Laboratory,0.96,Laboratory,0.96118262891,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.882795657227,peptide,b,type,plasma
BUMETANIDE 1 MG TABS,bumetanide 1_mg tablets,bumetanide:bumetanide||1_mg:1_mg||tabs:tablets||,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.931652224528,Pharmacy,0.999039169502,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.915172848507,1_mg,tabs,bumetanide,
BUPIVACAINE-LIDOCAINE (DUH 1:1) 0.25%-1 % SOLN,bupivacaine lidocaine duh 1 1 0.25% 1% solution,bupivacaine:bupivacaine||lidocaine:lidocaine||duh:duh||1:1||1:1||0.25%:0.25%||1%:1%||soln:solution||,Pharmacy,0.77,Pharmacy,0.81,Pharmacy,0.972775859573,Pharmacy,0.999967653445,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.888185878254,duh,0.25%,soln,1%
C MHOC-NON-CHEMO SUB Q O,mhoc non chemo sub q o_r,mhoc:mhoc||non:non||chemo:chemo||sub:sub||q:q||o:o_r||,Supply,0.66,Laboratory,0.39,Laboratory,0.92,Laboratory,0.487167448575,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.599055816192,mhoc,non,sub,o
CABLE QUAD CONNECTOR,cable quad connector,cable:cable||quad:quad||connector:connector||,Laboratory,0.72,Nursing Services,0.45,Supply,0.96,Supply,0.916996748343,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.469249187086,connector,quad,cable,
